Category,SKU,Thumbnail,Thumbnail Drive Link,Category,Sub-Category,Name,Price
Chairs,P-FUR-CHA-EXE-460195,,https://drive.google.com/file/d/1xDiJ7EuFBTYXFwlibtHVVO1jfuOByKZI/view?usp=drive_link,CHAIRS,EXECUTIVE CHAIR,EXECUTIVE CHAIR,
,P-FUR-CHA-EXE-612037,,https://drive.google.com/file/d/1OYJjrIfKEsephBLoRgc-_G0fhmG5WPea/view?usp=drive_link,CHAIRS,EXECUTIVE CHAIR,EXECUTIVE CHAIR,
,P-FUR-CHA-EXE-971521,,https://drive.google.com/file/d/1HD8vyiHnuOtpN5m2vGzErNyYAW7QyAMC/view?usp=drive_link,CHAIRS,EXECUTIVE CHAIR,EXECUTIVE CHAIR,
,P-FUR-CHA-MDC-421483,,https://drive.google.com/file/d/1VZb0sS088Ja26x5FIN2wXdOjldZ2mTyC/view?usp=drive_link,CHAIRS,EXECUTIVE CHAIR,MD CABIN CHAIR,
,P-FUR-CHA-MDC-753923,,https://drive.google.com/file/d/1fRfWE_k9Cts9VI2gBBadeu0R_TDhRnxz/view?usp=drive_link,CHAIRS,EXECUTIVE CHAIR,MD CABIN CHAIR,
Sofa,P-FUR-LOO-SOF-202107,,https://drive.google.com/file/d/1U9S5mRC13NnTuh7nIRKHhxFJqQsl9ds0/view?usp=drive_link,LOOSE FURNITURE,SOFA,Z-ZAG - 1 SEATER SOFA,
,P-FUR-LOO-SOF-301254,,https://drive.google.com/file/d/1HwLatsharMzJh_QsB9BFL0KW7jUg1RSM/view?usp=drive_link,LOOSE FURNITURE,SOFA,CONTOUR - 3 SEATER SOFA,
,P-FUR-LOO-SOF-359143,,https://drive.google.com/file/d/1k7pilh4rx5hecE1Wr_iRzssQ99BlSaUp/view?usp=drive_link,LOOSE FURNITURE,SOFA,Z-ZAG - 2 SEATER SOFA,
,P-FUR-LOO-SOF-380793,,https://drive.google.com/file/d/1DOjivjNT0nQibrfUHW4NfU_FEF90Og0B/view?usp=drive_link,LOOSE FURNITURE,SOFA,TALIA - 1 SEATER SOFA,
,P-FUR-LOO-SOF-410388,,https://drive.google.com/file/d/1T5iypFU0UiTBDq9XuP3oiEXrAmd8E9rB/view?usp=drive_link,LOOSE FURNITURE,SOFA,MAGNUM - 3 SEATER SOFA,
,P-FUR-LOO-SOF-424450,,https://drive.google.com/file/d/1aUgSXhvw8sXypBF1giitYH2_a8fsSvQx/view?usp=drive_link,LOOSE FURNITURE,SOFA,REYA - 3 SEATER SOFA,
Conference table,P-FUR-MOD-CON-220303,,https://drive.google.com/file/d/1rzng5rLDY0qbzqLNSu7_lX1A9NJTGbFB/view?usp=drive_link,MODULAR FURNITURE,CONFERENCE TABLE,Rectangular Conference Table Connected Leg Wooden Top,
,P-FUR-MOD-CON-402251,,https://drive.google.com/file/d/1V9JOeYDeqthvaiuib0hMxyiNul2QTf6Z/view?usp=drive_link,MODULAR FURNITURE,CONFERENCE TABLE,Cylinder Shape Conference Table Connected Leg Glass Top,
,P-FUR-MOD-CON-632520,,https://drive.google.com/file/d/1D-tP-l3-SlOHB1bRn6v99Dv0TQT182HE/view?usp=drive_link,MODULAR FURNITURE,CONFERENCE TABLE,Rectangular Conference Table Angled Leg Wooden Top,
,P-FUR-MOD-CON-675558,,https://drive.google.com/file/d/11-VQQmHrdjVcQ3UWWTSVO5ziGaDL6uCr/view?usp=drive_link,MODULAR FURNITURE,CONFERENCE TABLE,Oval Shape Conference Table Wooden Panel Wooden Top,
