boq_name,brand,catalogue_code_dynamic,catalogue_series_dynamic,category,color,countries,default_image,dimensions,hsn_code,id,images,is_preferred,item_class,item_name,item_style,item_type,length1,lwhd_metric,sku_id,sku_name,space_tag,specifications,status,sub_category,t_metric,template_id,template_name,theme,thickness,type,unit,vendor_brand_dynamic,width,model_3d,material_dynamic,us_dimensions,us_specifications,Selling Price
TILE CARPET DESIGN 1 - Laconic,Magnifyde,265+266,Laconic,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/1660031f-1998-407d-a1da-8cb75654e236,1000mm (L) x 250mm (W) x 5.5mm (T),57023110,bee9b480-74fe-4960-8970-739b996041e6,"https://s3-dms-prod.flipspaces.app/963d5593-0106-420d-9555-5789601d122e,https://s3-dms-prod.flipspaces.app/e41793b4-fc65-4196-aa16-be334591e334",TRUE,P1,CARPET DESIGN,Rectangle Shaped Tile,product,1000,mm,P-FLR-TEX-DES-221925,FLOORING TEXTILE FLOORING CARPET DESIGN PP Magnifyde TILE CARPET DESIGN 1 - Laconic 265+266 Laconic Design 15 1000mm (L) x 250mm (W) x 5.5mm (T),,"Material: PP.
 
 Gauge: 1/12” .
 
 Stitches: 8 per inch.
 
 Pile Weight: 22 OZ/yd2.
 
 Thickness: 5.5mm ± 0.5mm.
 
 Tufted Pile GSM: 750 GSM.
 
 Backing: PVC + Glass Fibre.
 
 Tile Size: 100 x 25 cm.",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,5.5,PP,SQFT,Design 15,250,,,,,105
TILE CARPET DESIGN 1 - Lyric,Magnifyde,LY-01 BASE+LY-01 BB+LY-01 BC,Lyric,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/e11ecb21-a798-4abd-96fe-2184ba60ffea,1000mm (L) x 250mm (W) x 5.5mm (T),57023110,c0c03a32-7ace-48b0-a18f-525926b394cd,"https://s3-dms-prod.flipspaces.app/e1c6da60-2c09-4d1d-a393-7835940f9fd2,https://s3-dms-prod.flipspaces.app/9c0eb6dc-a0c0-44bf-8cde-d0477e249c67,https://s3-dms-prod.flipspaces.app/dd0007c7-795d-4bd5-8e7b-c088ad87af99",TRUE,P1,CARPET DESIGN,Rectangle Shaped Tile,product,1000,mm,P-FLR-TEX-DES-720797,FLOORING TEXTILE FLOORING CARPET DESIGN PP Magnifyde TILE CARPET DESIGN 1 - Lyric LY-01 BASE+LY-01 BB+LY-01 BC Lyric Design 14 1000mm (L) x 250mm (W) x 5.5mm (T),,"Construction : Multi-Level Pattern Loop.
 
 Face yarn : Olefin PP.
 
 Gauge: 1/12”.
 
 Pile height : 4mm.
 
 Tufted Pile GSM: 750 GSM.
 
 Backing : Ecoback + Fibre Glass.
 
 Size : 100 cm x 25 cm.",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,5.5,PP,SQFT,Design 14,250,,,,,85
TILE CARPET DESIGN 3 - Flourish,Magnifyde,1300+1310+1311,Flourish,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/3e0090b1-8150-4f38-9bfd-9eecc426b310,1000mm (L) x 250mm (W) x 5.5mm (T),57023110,71198685-fdeb-4da6-be2f-2fd033c7c45b,"https://s3-dms-prod.flipspaces.app/8cab3290-8df4-4af0-aa53-9044b4087d38,https://s3-dms-prod.flipspaces.app/b4393aa6-d69c-4dba-a69d-6a3d11b36ddc,https://s3-dms-prod.flipspaces.app/342d5d73-59f5-43e1-ad84-e23fa3650447",TRUE,P1,CARPET DESIGN,Rectangle Shaped Tile,product,1000,mm,P-FLR-TEX-DES-781636,FLOORING TEXTILE FLOORING CARPET DESIGN PP Magnifyde TILE CARPET DESIGN 3 - Flourish 1300+1310+1311 Flourish Design 13 1000mm (L) x 250mm (W) x 5.5mm (T),,"Construction : Multi-Level Pattern Loop.
 
 Face yarn : Olefin PP.
 
 Gauge: 1/12”.
 
 Pile height : 4mm.
 
 Tufted Pile GSM: 750 GSM.
 
 Backing : Ecoback + Fibre Glass.
 
 Size : 100 cm x 25 cm.",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,5.5,PP,SQFT,Design 13,250,,,,,85
TILE CARPET DESIGN 2 - Flourish,Magnifyde,1300+1330+1331,Flourish,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/246e50af-7396-48ab-8e0d-b386a30bc74a,1000mm (L) x 250mm (W) x 5.5mm (T),57023110,fb1d58e4-89f1-4823-adf9-ae17e54d30fa,"https://s3-dms-prod.flipspaces.app/8cab3290-8df4-4af0-aa53-9044b4087d38,https://s3-dms-prod.flipspaces.app/ace0387c-28c9-418b-8fe1-5efa2e568a3c,https://s3-dms-prod.flipspaces.app/e7c1f2fb-bd7b-4348-957a-1bbb8c9c1b01",TRUE,P1,CARPET DESIGN,Rectangle Shaped Tile,product,1000,mm,P-FLR-TEX-DES-820119,FLOORING TEXTILE FLOORING CARPET DESIGN PP Magnifyde TILE CARPET DESIGN 2 - Flourish 1300+1330+1331 Flourish Design 12 1000mm (L) x 250mm (W) x 5.5mm (T),,"Construction : Multi-Level Pattern Loop.
 
 Face yarn : Olefin PP.
 
 Gauge: 1/12”.
 
 Pile height : 4mm.
 
 Tufted Pile GSM: 750 GSM.
 
 Backing : Ecoback + Fibre Glass.
 
 Size : 100 cm x 25 cm.",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,5.5,PP,SQFT,Design 12,250,,,,,85
TILE CARPET DESIGN 1 - Flourish,Magnifyde,1300+1321,Flourish,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/2dc035b2-0ae3-43a1-a356-e454f2903f18,1000mm (L) x 250mm (W) x 5.5mm (T),57023110,8b3af2d2-10a7-4c99-bf3f-0b9d90e5bedb,"https://s3-dms-prod.flipspaces.app/8cab3290-8df4-4af0-aa53-9044b4087d38,https://s3-dms-prod.flipspaces.app/c92e58d1-4bdc-4b21-a0c8-81eb13f69c1b",TRUE,P1,CARPET DESIGN,Rectangle Shaped Tile,product,1000,mm,P-FLR-TEX-DES-162355,FLOORING TEXTILE FLOORING CARPET DESIGN PP Magnifyde TILE CARPET DESIGN 1 - Flourish 1300+1321 Flourish Design 11 1000mm (L) x 250mm (W) x 5.5mm (T),,"Construction : Multi-Level Pattern Loop.
 
 Face yarn : Olefin PP.
 
 Gauge: 1/12”.
 
 Pile height : 4mm.
 
 Tufted Pile GSM: 750 GSM.
 
 Backing : Ecoback + Fibre Glass.
 
 Size : 100 cm x 25 cm.",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,5.5,PP,SQFT,Design 11,250,,,,,85
TILE CARPET DESIGN 4 - Quattro,Magnifyde,QT 809+QT 829,Quattro,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/2a645f3a-f305-4845-a377-2f75b3882b77,1000mm (L) x 250mm (W) x 5.5mm (T),57023110,1de15930-fec5-4281-816e-5f635c903cc3,"https://s3-dms-prod.flipspaces.app/d8553785-9653-415b-b9ea-7342e30ef188,https://s3-dms-prod.flipspaces.app/e0590152-ee3c-4dc8-bdbc-48911b2ece8d",TRUE,P1,CARPET DESIGN,Rectangle Shaped Tile,product,1000,mm,P-FLR-TEX-DES-307921,FLOORING TEXTILE FLOORING CARPET DESIGN PP Magnifyde TILE CARPET DESIGN 4 - Quattro QT 809+QT 829 Quattro Design 10 1000mm (L) x 250mm (W) x 5.5mm (T),,"Construction : Multi-Level Pattern Loop.
 
 Face yarn : Olefin PP.
 
 Gauge: 1/12”.
 
 Pile height : 4mm.
 
 Tufted Pile GSM: 750 GSM.
 
 Backing : PVC + Fibre Glass.
 
 Size : 100 cm x 25 cm.",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,5.5,PP,SQFT,Design 10,250,,,,,105
TILE CARPET DESIGN 3 - Quattro,Magnifyde,QT 805+QT 815,Quattro,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/c1a7b290-e1ec-44d8-99a4-3c9252194d37,1000mm (L) x 250mm (W) x 5.5mm (T),57023110,79bdf74f-e9b6-4610-b3cd-c1059f393e97,"https://s3-dms-prod.flipspaces.app/a281d3fe-cd32-4801-81e2-cc9c15411a30,https://s3-dms-prod.flipspaces.app/95478008-0771-415b-a209-7fc758699080",TRUE,P1,CARPET DESIGN,Rectangle Shaped Tile,product,1000,mm,P-FLR-TEX-DES-912350,FLOORING TEXTILE FLOORING CARPET DESIGN PP Magnifyde TILE CARPET DESIGN 3 - Quattro QT 805+QT 815 Quattro Design 9 1000mm (L) x 250mm (W) x 5.5mm (T),,"Construction : Multi-Level Pattern Loop.
 
 Face yarn : Olefin PP.
 
 Gauge: 1/12”.
 
 Pile height : 4mm.
 
 Tufted Pile GSM: 750 GSM.
 
 Backing : PVC + Fibre Glass.
 
 Size : 100 cm x 25 cm.",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,5.5,PP,SQFT,Design 9,250,,,,,105
TILE CARPET DESIGN 2 - Quattro,Magnifyde,QT 809+QT 825,Quattro,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/0b4606f2-bf7c-49d1-8cbb-1bae54dc631f,1000mm (L) x 250mm (W) x 5.5mm (T),57023110,25e57410-4c16-421d-bd40-bd21a1da61f0,"https://s3-dms-prod.flipspaces.app/d8553785-9653-415b-b9ea-7342e30ef188,https://s3-dms-prod.flipspaces.app/2f5d113c-939b-4815-ad90-e82f1a025c7f",TRUE,P1,CARPET DESIGN,Rectangle Shaped Tile,product,1000,mm,P-FLR-TEX-DES-479537,FLOORING TEXTILE FLOORING CARPET DESIGN PP Magnifyde TILE CARPET DESIGN 2 - Quattro QT 809+QT 825 Quattro Design 8 1000mm (L) x 250mm (W) x 5.5mm (T),,"Construction : Multi-Level Pattern Loop.
 
 Face yarn : Olefin PP.
 
 Gauge: 1/12”.
 
 Pile height : 4mm.
 
 Tufted Pile GSM: 750 GSM.
 
 Backing : PVC + Fibre Glass.
 
 Size : 100 cm x 25 cm.",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,5.5,PP,SQFT,Design 8,250,,,,,105
TILE CARPET DESIGN 1 - Quattro,Magnifyde,QT 805+QT 819,Quattro,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/30b64836-b7ef-4c92-9afa-8a62fbde1d95,1000mm (L) x 250mm (W) x 5.5mm (T),57023110,59775a2c-af13-4fee-b248-f7e53d21579c,"https://s3-dms-prod.flipspaces.app/a281d3fe-cd32-4801-81e2-cc9c15411a30,https://s3-dms-prod.flipspaces.app/dd01b226-ee8f-47ff-bef2-09daa16415fc",TRUE,P1,CARPET DESIGN,Rectangle Shaped Tile,product,1000,mm,P-FLR-TEX-DES-449283,FLOORING TEXTILE FLOORING CARPET DESIGN PP Magnifyde TILE CARPET DESIGN 1 - Quattro QT 805+QT 819 Quattro Design 7 1000mm (L) x 250mm (W) x 5.5mm (T),,"Construction : Multi-Level Pattern Loop.
 
 Face yarn : Olefin PP.
 
 Gauge: 1/12”.
 
 Pile height : 4mm.
 
 Tufted Pile GSM: 750 GSM.
 
 Backing : PVC + Fibre Glass.
 
 Size : 100 cm x 25 cm.",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,5.5,PP,SQFT,Design 7,250,,,,,105
TILE CARPET DESIGN 6 - Decorous,Magnifyde,263N+266N,Decorous,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/aa833a90-f30a-4ef7-a321-cf3b8f22628e,1000mm (L) x 250mm (W) x 5.5mm (T),57023110,cb905f13-4816-427d-a270-b0bbe860214e,"https://s3-dms-prod.flipspaces.app/b04c7ee5-1cb1-4b76-8fda-314af7fcbfc2,https://s3-dms-prod.flipspaces.app/620c6ee0-8b09-4eb7-9d98-ba4308cde679",TRUE,P1,CARPET DESIGN,Rectangle Shaped Tile,product,1000,mm,P-FLR-TEX-DES-529676,FLOORING TEXTILE FLOORING CARPET DESIGN Nylon Magnifyde TILE CARPET DESIGN 6 - Decorous 263N+266N Decorous Design 6 1000mm (L) x 250mm (W) x 5.5mm (T),,"Construction : Multi-Level Pattern Loop.
 
 Face yarn : Nylon.
 
 Gauge: 1/12”.
 
 Pile height : 4mm.
 
 Tufted Pile GSM: 750 GSM.
 
 Backing : PVC + Fibre Glass.
 
 Size : 100 cm x 25 cm.",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,5.5,Nylon,SQFT,Design 6,250,,,,,138
