boq_name,brand,catalogue_code_dynamic,catalogue_series_dynamic,category,color,countries,default_image,dimensions,hsn_code,id,images,is_preferred,item_class,item_name,item_style,item_type,length1,lwhd_metric,sku_id,sku_name,space_tag,specifications,status,sub_category,t_metric,template_id,template_name,theme,thickness,type,unit,vendor_brand_dynamic,width,model_3d,material_dynamic,us_dimensions,us_specifications,Selling Price
TILE CARPET,Euronics,SR02-GREY,Strata,FLOORING,Grey,IN,https://s3-dms-prod.flipspaces.app/306f9154-c316-41fc-938f-cc4c853bca8e,500mm (L) x 500mm (W) x 8.5mm (T),57023110,e0ddd75e-0624-4f8b-9dc0-854fc38e8cbd,https://s3-dms-prod.flipspaces.app/f38da64b-adbc-4076-8d85-c1da415ab7f2,TRUE,P1,CARPET,Square Shaped Tile,product,500,mm,P-FLR-TEX-CAR-979176,FLOORING TEXTILE FLOORING CARPET Nylon Euronics TILE CARPET SR02-GREY Strata 500mm (L) x 500mm (W) x 8.5mm (T),,"Construction : Tufted High & Low Loop
 
 
 Face yarn : 100% Solution Dyed Universal Nylon 6
 
 
 Gauge: 1/10”
 
 
 Stitches: 8 /in
 
 
 Pile height : 4.5 mm – 7.5 mm (±0.5 mm)
 
 
 Tufted Pile GSM: 780GSM
 
 
 Size : 50 cm x 50 cm
 
 
 Backing: PVC with fibreglass",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,8.5,Nylon,SQFT,,500,,,,,235
TILE CARPET,Euronics,TRO6-GREY/GREEN,Terrana,FLOORING,Green,IN,https://s3-dms-prod.flipspaces.app/e10ef5cd-d6a5-4099-859d-0a7c14d1da36,500mm (L) x 500mm (W) x 9mm (T),57023110,b9930221-0a3a-411d-8e42-d55e580cec44,https://s3-dms-prod.flipspaces.app/14c54215-2c11-4d66-8729-8808750c59e7,TRUE,P1,CARPET,Square Shaped Tile,product,500,mm,P-FLR-TEX-CAR-498136,FLOORING TEXTILE FLOORING CARPET Nylon Euronics TILE CARPET TRO6-GREY/GREEN Terrana 500mm (L) x 500mm (W) x 9mm (T),,"Construction : Tufted High & Low Loop
 
 Face yarn : 100% Solution Dyed Universal Nylon 6
 
 Gauge: 1/12”
 
 Stitches: 6 /in
 
 Pile height : 4.0 mm-7.0 mm (+0.5 mm)
 
 Tufted Pile GSM: 815GSM
 
 Size : 50 cm x 50 cm
 
 Backing: Ultra Eco Cushion Backing",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,9,Nylon,SQFT,,500,,,,,250
TILE CARPET,Euronics,TRO3-GREY/BLUE,Terrana,FLOORING,Blue,IN,https://s3-dms-prod.flipspaces.app/580e10d8-8af0-431f-8458-070e80d618f2,500mm (L) x 500mm (W) x 9mm (T),57023110,a34eed15-d451-4a06-a0c6-4da1086328c1,https://s3-dms-prod.flipspaces.app/2c503028-2e50-45c7-bfe4-ab903cc72ba6,TRUE,P1,CARPET,Square Shaped Tile,product,500,mm,P-FLR-TEX-CAR-934586,FLOORING TEXTILE FLOORING CARPET Nylon Euronics TILE CARPET TRO3-GREY/BLUE Terrana 500mm (L) x 500mm (W) x 9mm (T),,"Construction : Tufted High & Low Loop
 
 Face yarn : 100% Solution Dyed Universal Nylon 6
 
 Gauge: 1/12”
 
 Stitches: 6 /in
 
 Pile height : 4.0 mm-7.0 mm (+0.5 mm)
 
 Tufted Pile GSM: 815GSM
 
 Size : 50 cm x 50 cm
 
 Backing: Ultra Eco Cushion Backing",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,9,Nylon,SQFT,,500,,,,,250
TILE CARPET,Euronics,TRO7-BEIGE/ORANGE,Terrana,FLOORING,Orange,IN,https://s3-dms-prod.flipspaces.app/76997451-8349-42da-96ae-583d73d616ec,500mm (L) x 500mm (W) x 9mm (T),57023110,0a22f08e-2cca-45d8-bbf7-afc622ec97bb,https://s3-dms-prod.flipspaces.app/409a3f78-3576-439a-af85-ef27019e3f9c,TRUE,P1,CARPET,Square Shaped Tile,product,500,mm,P-FLR-TEX-CAR-674688,FLOORING TEXTILE FLOORING CARPET Nylon Euronics TILE CARPET TRO7-BEIGE/ORANGE Terrana 500mm (L) x 500mm (W) x 9mm (T),,"Construction : Tufted High & Low Loop
 
 Face yarn : 100% Solution Dyed Universal Nylon 6
 
 Gauge: 1/12”
 
 Stitches: 6 /in
 
 Pile height : 4.0 mm-7.0 mm (+0.5 mm)
 
 Tufted Pile GSM: 815GSM
 
 Size : 50 cm x 50 cm
 
 Backing: Ultra Eco Cushion Backing",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,9,Nylon,SQFT,,500,,,,,250
TILE CARPET,Euronics,TRO2-GREY,Terrana,FLOORING,Grey,IN,https://s3-dms-prod.flipspaces.app/19fad6e8-32ed-495b-b9b1-ba5d280f468f,500mm (L) x 500mm (W) x 9mm (T),57023110,0013f1c1-a29b-4f03-b6c4-c0cfd3c7a17e,https://s3-dms-prod.flipspaces.app/e052c166-8fbe-42ab-9531-5ba4c17caa2a,TRUE,P1,CARPET,Square Shaped Tile,product,500,mm,P-FLR-TEX-CAR-234447,FLOORING TEXTILE FLOORING CARPET Nylon Euronics TILE CARPET TRO2-GREY Terrana 500mm (L) x 500mm (W) x 9mm (T),,"Construction : Tufted High & Low Loop
 
 Face yarn : 100% Solution Dyed Universal Nylon 6
 
 Gauge: 1/12”
 
 Stitches: 6 /in
 
 Pile height : 4.0 mm-7.0 mm (+0.5 mm)
 
 Tufted Pile GSM: 815GSM
 
 Size : 50 cm x 50 cm
 
 Backing: Ultra Eco Cushion Backing",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,9,Nylon,SQFT,,500,,,,,250
TILE CARPET,Euronics,TRO1-BEIGE,Terrana,FLOORING,Beige,IN,https://s3-dms-prod.flipspaces.app/e26806a7-26d7-41ba-8971-5ed1b7dbe12f,500mm (L) x 500mm (W) x 9mm (T),57023110,a1ddbb86-ede6-4d3a-9bab-80a9c96f29d6,https://s3-dms-prod.flipspaces.app/6b7e930b-f429-4f14-a7c2-d398379b8a57,TRUE,P1,CARPET,Square Shaped Tile,product,500,mm,P-FLR-TEX-CAR-721911,FLOORING TEXTILE FLOORING CARPET Nylon Euronics TILE CARPET TRO1-BEIGE Terrana 500mm (L) x 500mm (W) x 9mm (T),,"Construction : Tufted High & Low Loop
 
 Face yarn : 100% Solution Dyed Universal Nylon 6
 
 Gauge: 1/12”
 
 Stitches: 6 /in
 
 Pile height : 4.0 mm-7.0 mm (+0.5 mm)
 
 Tufted Pile GSM: 815GSM
 
 Size : 50 cm x 50 cm
 
 Backing: Ultra Eco Cushion Backing",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,9,Nylon,SQFT,,500,,,,,250
TILE CARPET,Euronics,SR07-GREY/ORANGE,Strata,FLOORING,Orange,IN,https://s3-dms-prod.flipspaces.app/5c183bc6-5c6d-40cd-9f54-f0a1a6b86a88,500mm (L) x 500mm (W) x 8.5mm (T),57023110,8f3710bf-8d41-4340-9677-6ea94878f5bc,https://s3-dms-prod.flipspaces.app/5009a714-6dc4-4d20-af1e-f565447ac5dd,TRUE,P1,CARPET,Square Shaped Tile,product,500,mm,P-FLR-TEX-CAR-340829,FLOORING TEXTILE FLOORING CARPET Nylon Euronics TILE CARPET SR07-GREY/ORANGE Strata 500mm (L) x 500mm (W) x 8.5mm (T),,"Construction : Tufted High & Low Loop
 
 Face yarn : 100% Solution Dyed Universal Nylon 6
 
 Gauge: 1/10”
 
 Stitches: 8 /in
 
 Pile height : 4.5 mm – 7.5 mm (±0.5 mm)
 
 Tufted Pile GSM: 780GSM
 
 Size : 50 cm x 50 cm
 
 Backing: PVC with fibreglass",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,8.5,Nylon,SQFT,,500,,,,,235
TILE CARPET,Euronics,SR03-GREY/BLUE,Strata,FLOORING,Blue,IN,https://s3-dms-prod.flipspaces.app/02669fd0-17f3-4df8-8bcf-2c6da07ea46f,500mm (L) x 500mm (W) x 8.5mm (T),57023110,1edd69bf-ab5e-47fe-82f1-5714342c0ffe,https://s3-dms-prod.flipspaces.app/2efd7755-6420-4f34-997b-88c9d4e1e4a7,TRUE,P1,CARPET,Square Shaped Tile,product,500,mm,P-FLR-TEX-CAR-103057,FLOORING TEXTILE FLOORING CARPET Nylon Euronics TILE CARPET SR03-GREY/BLUE Strata 500mm (L) x 500mm (W) x 8.5mm (T),,"Construction : Tufted High & Low Loop
 
 Face yarn : 100% Solution Dyed Universal Nylon 6
 
 Gauge: 1/10”
 
 Stitches: 8 /in
 
 Pile height : 4.5 mm – 7.5 mm (±0.5 mm)
 
 Tufted Pile GSM: 780GSM
 
 Size : 50 cm x 50 cm
 
 Backing: PVC with fibreglass",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,8.5,Nylon,SQFT,,500,,,,,235
TILE CARPET,Euronics,SR04-DARK GREY,Strata,FLOORING,Grey,IN,https://s3-dms-prod.flipspaces.app/ea9e4f93-dc77-4784-bb6f-8fe798bbc465,500mm (L) x 500mm (W) x 8.5mm (T),57023110,3c2873c2-800e-48b8-9e6a-666069c2bada,https://s3-dms-prod.flipspaces.app/cb62a755-8cf2-488f-8641-ba19f3a142a9,TRUE,P1,CARPET,Square Shaped Tile,product,500,mm,P-FLR-TEX-CAR-995386,FLOORING TEXTILE FLOORING CARPET Nylon Euronics TILE CARPET SR04-DARK GREY Strata 500mm (L) x 500mm (W) x 8.5mm (T),,"Construction : Tufted High & Low Loop
 
 Face yarn : 100% Solution Dyed Universal Nylon 6
 
 Gauge: 1/10”
 
 Stitches: 8 /in
 
 Pile height : 4.5 mm – 7.5 mm (±0.5 mm)
 
 Tufted Pile GSM: 780GSM
 
 Size : 50 cm x 50 cm
 
 Backing: PVC with fibreglass",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,8.5,Nylon,SQFT,,500,,,,,235
PLANK CARPET,Euronics,SHP1603B GREY/BLUE,Splend,FLOORING,Blue,IN,https://s3-dms-prod.flipspaces.app/5ca1bf83-ecdd-4cff-9236-bf750fa945cf,1000mm (L) x 250mm (W) x 6mm (T),57023110,840ed245-7c5f-46fe-b0f3-052cad87b7be,https://s3-dms-prod.flipspaces.app/921358e6-1d09-4d2c-b518-cd5bf685afe8,TRUE,P1,CARPET,Rectangle Shaped Tile,product,1000,mm,P-FLR-TEX-CAR-699970,FLOORING TEXTILE FLOORING CARPET Nylon Euronics PLANK CARPET SHP1603B GREY/BLUE Splend 1000mm (L) x 250mm (W) x 6mm (T),,"Construction : Tufted High & Low Loop
 
 
 Face yarn : 100% Solution Dyed Universal Nylon 6
 
 
 Gauge: 1/12”
 
 
 Stitches: 10 /in
 
 
 Pile height : 2.5 mm – 5.5 mm (±0.5 mm)
 
 
 Tufted Pile GSM: 580GSM
 
 
 Size : 100 cm x 25 cm
 
 
 Backing: PVC Free E - Bac",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,6,Nylon,SQFT,,250,,,,,132
