boq_name,brand,catalogue_code_dynamic,category,countries,default_image,dimensions,height,hsn_code,id,is_preferred,item_class,item_name,item_type,length1,lwhd_metric,sku_id,sku_name,specifications,status,sub_category,t_metric,template_id,template_name,type,unit,vendor_catalogue_code_dynamic,vendor_catalogue_series_dynamic,width,images,color,config,item_style,model_3d,space_tag,theme,us_specifications,wheel_base_dynamic,us_dimensions,vendor_brand_dynamic,arm_rest_dynamic,catalogue_series_dynamic,product_preferred_dynamic,Selling Price
CAFE CHAIR,ELESTRO,ENT_LFD_CH97,FURNITURE,AE,https://s3-dms-prod.flipspaces.app/c51a6e4e-e71a-4821-8971-a0b74f97819d,470mm (L) x 460mm (W) x 460mm (H),460,94018000,a5c36176-0935-400c-982e-7ee597fa4e5b,TRUE,P1,CAFETERIA CHAIR,product,470,mm,P-FUR-CHA-CAF-181240,FURNITURE CHAIRS CAFETERIA CHAIR ENT ELESTRO ENT_LFD_CH97 GG35 LFD 470mm (L) x 460mm (W) x 460mm (H),"Dimensions: 460*470*460/760 (Width x Depth x Mattress Height/Backrest Height).
 
 Materials: Rubberwood frame, ash wood backrest, fabric or faux leather upholstery.
 
 Color: Optional.
 
 The Bull chair (CH22) is the perfect choice for modern interior spaces, from family dining rooms and living rooms to cafes, restaurants, and upscale lounges . With its premium natural ash wood frame , the chair is both sturdy and durable, while also offering a rustic and sophisticated look with its luxurious natural wood grain.
 
 
 
  Modern and sophisticated design – soft mattress, elegant curved wooden backrest, easily complements various interior styles.
 
  Comfortable and convenient – ​​the seat is upholstered with soft cushioning, and the curved wooden back supports a natural sitting posture.
 
  Durable materials – sturdy ash wood frame and backrest, high quality, easy to clean mattress.
 
  Versatile & flexible – suitable for families, cafes, restaurants, lounges, or commercial spaces.",active,CHAIRS,mm,b0fa98be-9c3f-4074-9ea0-48cbd2e47437,FURNITURE_CHAIRS,ENT,NOS,GG35,LFD,460,,,,,,,,,,,,,,,
CAFE CHAIR,ELESTRO,ENT_LFD_CH96,FURNITURE,AE,https://s3-dms-prod.flipspaces.app/1919f4c9-26d1-458f-a8f2-9c9b994b500f,470mm (L) x 470mm (W) x 460mm (H),460,94018000,aba88038-d45a-4788-8d84-0629e469f7ce,TRUE,P1,CAFETERIA CHAIR,product,470,mm,P-FUR-CHA-CAF-253892,FURNITURE CHAIRS CAFETERIA CHAIR ENT ELESTRO ENT_LFD_CH96 GG06 LFD 470mm (L) x 470mm (W) x 460mm (H),"Dimensions: 470*470*460/880 (Width x Depth x Mattress Height/Backrest Height).
 
 Materials: Ash wood frame, natural rattan seat.
 
 Color: Optional.
 
 A perfect and striking combination with rustic charm. The ash wood bistro chair with a rattan seat is an ideal choice for spaces that want to combine classic, elegant beauty with durability for everyday use.",active,CHAIRS,mm,b0fa98be-9c3f-4074-9ea0-48cbd2e47437,FURNITURE_CHAIRS,ENT,NOS,GG06,LFD,470,,,,,,,,,,,,,,,
CAFE CHAIR,ELESTRO,ENT_LFD_CH94,FURNITURE,AE,https://s3-dms-prod.flipspaces.app/e31a934b-8fa0-41af-b805-73900249bf36,460mm (L) x 430mm (W) x 450mm (H),450,94018000,85a7fb0d-6854-4639-8618-c7f7285e9ea7,TRUE,P1,CAFETERIA CHAIR,product,460,mm,P-FUR-CHA-CAF-575307,FURNITURE CHAIRS CAFETERIA CHAIR ENT ELESTRO ENT_LFD_CH94 GG32 LFD 460mm (L) x 430mm (W) x 450mm (H),"Dimensions: 430*460*450/900 (Width x Depth x Mattress Height/Backrest Height).
 
 Material: Rubberwood.
 
 The Pinstol chair made of rubberwood is one of the most popular modern dining chair designs thanks to its sleek and elegant design, as well as its versatility in combining with various interior styles. With its soft lines, rounded legs, and sturdy backrest, the Pinstol offers a sophisticated yet robust design, suitable for everyday use in homes, restaurants, or cafes.
 
 Suitable for various interior spaces.
 
 With its lightweight design and versatile colors, the Pinstol rubberwood chair easily complements natural wood dining tables, round tables, rectangular tables, or café and restaurant spaces with Scandinavian, Minimalism, or Modern Rustic styles.",active,CHAIRS,mm,b0fa98be-9c3f-4074-9ea0-48cbd2e47437,FURNITURE_CHAIRS,ENT,NOS,GG32,LFD,430,,,,,,,,,,,,,,,
CAFE CHAIR,ELESTRO,ENT_LFD_CH93,FURNITURE,AE,https://s3-dms-prod.flipspaces.app/ea786db0-d19b-4688-a332-66b2f3d2603b,680mm (L) x 550mm (W) x 380mm (H),380,94018000,27c9d969-7ba0-4f99-9667-10279bc75925,TRUE,P1,CAFETERIA CHAIR,product,680,mm,P-FUR-CHA-CAF-944294,FURNITURE CHAIRS CAFETERIA CHAIR ENT ELESTRO ENT_LFD_CH93 GG33 LFD 680mm (L) x 550mm (W) x 380mm (H),"Dimensions: 550*680*380/700 (Width x Depth x Mattress Height/Backrest Height).
 
 Materials: Ash wood, artificial rattan backrest, fabric or faux leather upholstery.
 
 Color: Optional.
 
 The Windsor chair, made of rubberwood, is a classic and beloved style for decades, thanks to its elegant design, durability, and versatility in various interior spaces. With its distinctive slatted back and soft curves, the Windsor chair always creates a harmonious blend of classic and minimalist modern styles. This is why this type of chair is commonly found in family dining rooms, cafes, restaurants, and even spaces decorated in a vintage or Scandinavian style.",active,CHAIRS,mm,b0fa98be-9c3f-4074-9ea0-48cbd2e47437,FURNITURE_CHAIRS,ENT,NOS,GG33,LFD,550,,,,,,,,,,,,,,,
CAFE CHAIR,ELESTRO,ENT_LFD_CH92,FURNITURE,AE,https://s3-dms-prod.flipspaces.app/cfcc364c-00d9-44cf-98ce-4c22c31cb72e,430mm (L) x 470mm (W) x 450mm (H),450,94018000,8f2a96aa-ea6e-4077-afa9-4ad150cb4603,TRUE,P1,CAFETERIA CHAIR,product,430,mm,P-FUR-CHA-CAF-238845,FURNITURE CHAIRS CAFETERIA CHAIR ENT ELESTRO ENT_LFD_CH92 GG24 LFD 430mm (L) x 470mm (W) x 450mm (H),"Dimensions: 470*430*450/770 (Width x Depth x Mattress Height/Backrest Height).
 
 Material: Ash wood frame.
 
 Color: Optional.
 
 The Neva armless chair made of Ash wood is one of the most popular chair designs in modern interior spaces thanks to its minimalist, elegant design that still exudes sophistication. Featuring the characteristic soft curves of the Neva line, the chair provides a light, natural feel and easily blends with many different decor styles.",active,CHAIRS,mm,b0fa98be-9c3f-4074-9ea0-48cbd2e47437,FURNITURE_CHAIRS,ENT,NOS,GG24,LFD,470,,,,,,,,,,,,,,,
CAFE CHAIR,ELESTRO,ENT_LFD_CH88,FURNITURE,AE,https://s3-dms-prod.flipspaces.app/98d7d78d-a78e-4676-ba76-8c19d70af165,480mm (L) x 480mm (W) x 440mm (H),440,94018000,cc4789a3-53e5-4eb0-a0e9-22d036f577d4,TRUE,P1,CAFETERIA CHAIR,product,480,mm,P-FUR-CHA-CAF-393478,FURNITURE CHAIRS CAFETERIA CHAIR ENT ELESTRO ENT_LFD_CH88 GG27 LFD 480mm (L) x 480mm (W) x 440mm (H),"Dimensions: 480*480*440/780 (Width x Depth x Mattress Height/Backrest Height).
 
 Materials: Ash wood frame, woven seat.
 
 Color: Optional.
 
 The woven Wishbone chair is an iconic piece in modern interior design, inspired by the CH24 chair created by designer Hans J. Wegner. With its minimalist, elegant beauty and strong Scandinavian spirit, the Wishbone chair is always a favorite choice in spaces ranging from homes, cafes, and restaurants to showrooms.",active,CHAIRS,mm,b0fa98be-9c3f-4074-9ea0-48cbd2e47437,FURNITURE_CHAIRS,ENT,NOS,GG27,LFD,480,,,,,,,,,,,,,,,
CAFE CHAIR,ELESTRO,ENT_LFD_CH87,FURNITURE,AE,https://s3-dms-prod.flipspaces.app/f009d80c-625e-4652-9243-06947d0392c8,480mm (L) x 490mm (W) x 450mm (H),450,94018000,061d8b25-110f-4d20-89d5-832d400f57a2,TRUE,P1,CAFETERIA CHAIR,product,480,mm,P-FUR-CHA-CAF-485545,FURNITURE CHAIRS CAFETERIA CHAIR ENT ELESTRO ENT_LFD_CH87 GG48 LFD 480mm (L) x 490mm (W) x 450mm (H),"Dimensions: 490*480*450/810 (Width x Depth x Mattress Height/Backrest Height).
 
 Materials: Ash wood frame, fabric or faux leather upholstery.
 
 Color: Optional.
 
 The Ventura chair is an ideal choice for modern interior spaces, from family dining rooms and living rooms to cafes, restaurants, and upscale lounges . With its premium natural ash wood frame , the chair is both sturdy and durable, while also offering a natural beauty with its refined wood grain, adding a touch of elegance to any space.",active,CHAIRS,mm,b0fa98be-9c3f-4074-9ea0-48cbd2e47437,FURNITURE_CHAIRS,ENT,NOS,GG48,LFD,490,,,,,,,,,,,,,,,
CAFE CHAIR,ELESTRO,ENT_LFD_CH86,FURNITURE,AE,https://s3-dms-prod.flipspaces.app/712a7816-c787-45e2-a5db-ebee56e81c9c,470mm (L) x 460mm (W) x 459mm (H),459,94018000,31f2b7dc-a6bf-4280-964d-4705005f2a9a,TRUE,P1,CAFETERIA CHAIR,product,470,mm,P-FUR-CHA-CAF-388465,FURNITURE CHAIRS CAFETERIA CHAIR ENT ELESTRO ENT_LFD_CH86 GG44 LFD 470mm (L) x 460mm (W) x 459mm (H),"Dimensions: 460*470*450/830 (Width x Depth x Mattress Height/Backrest Height).
 
 Materials: Rubberwood frame, fabric or faux leather upholstery.
 
 Color: Optional.",active,CHAIRS,mm,b0fa98be-9c3f-4074-9ea0-48cbd2e47437,FURNITURE_CHAIRS,ENT,NOS,GG44,LFD,460,,,,,,,,,,,,,,,
CAFE CHAIR,ELESTRO,ENT_LFD_CH85,FURNITURE,AE,https://s3-dms-prod.flipspaces.app/aee523f6-588d-4bbd-822f-bc83d258b9f8,460mm (L) x 450mm (W) x 460mm (H),460,94018000,3a401763-f53d-4110-9cc6-4c4078fecd30,TRUE,P1,CAFETERIA CHAIR,product,460,mm,P-FUR-CHA-CAF-519473,FURNITURE CHAIRS CAFETERIA CHAIR ENT ELESTRO ENT_LFD_CH85 GG59 LFD 460mm (L) x 450mm (W) x 460mm (H),"Dimensions: 450*460*460/920 (Width x Depth x Mattress Height/Backrest Height).
 
 Material: Ash wood frame.
 
 Color: Optional.",active,CHAIRS,mm,b0fa98be-9c3f-4074-9ea0-48cbd2e47437,FURNITURE_CHAIRS,ENT,NOS,GG59,LFD,450,,,,,,,,,,,,,,,
CAFE CHAIR,ELESTRO,ENT_LFD_CH84,FURNITURE,AE,https://s3-dms-prod.flipspaces.app/45e4c5be-24a6-4a34-a789-cb4393517594,460mm (L) x 460mm (W) x 460mm (H),460,94018000,7c1040f5-8bd9-4fa7-8017-72f91b4e72e0,TRUE,P1,CAFETERIA CHAIR,product,460,mm,P-FUR-CHA-CAF-256146,FURNITURE CHAIRS CAFETERIA CHAIR ENT ELESTRO ENT_LFD_CH84 GG16 LFD 460mm (L) x 460mm (W) x 460mm (H),"Dimensions: 460*460*460/820 (Width x Depth x Mattress Height/Backrest Height).
 
 Materials: Ash wood frame, artificial rattan backrest, fabric or faux leather upholstery.
 
 Color: Optional.
 
 Detail: The Thonet 811 chair with armrests is the perfect choice for modern interiors, retaining the refined classicism of the Thonet chair line while offering optimal comfort.
 
 With its premium ash wood frame , the chair is sturdy, durable, and features beautiful natural wood grain, adding a touch of elegance to upscale dining rooms, living rooms, cafes, or restaurants.",active,CHAIRS,mm,b0fa98be-9c3f-4074-9ea0-48cbd2e47437,FURNITURE_CHAIRS,ENT,NOS,GG16,LFD,460,,,,,,,,,,,,,,,
