boq_name,brand,catalogue_code_dynamic,category,color,countries,default_image,hsn_code,id,is_preferred,item_class,item_name,item_style,item_type,lwhd_metric,sku_id,sku_name,space_tag,specifications,status,sub_category,t_metric,template_id,template_name,theme,unit,us_specifications,images,catalogue_series_dynamic,diameter,dimensions,height,model_3d,length1,width,default_image_mobile,us_dimensions,vendor_brand_dynamic,vendor_catalogue_series_dynamic,thickness,length2,vendor_catalogue_code_dynamic,vendor_dynamic,config,model_no_dynamic,light_temperature_dynamic,product_color_dynamic,type,color_temperature_dynamic,diffuser_type_dynamic,Selling Price
LIGHT 4,Elestro,FLBR_LT03.2,LIGHTING,,US,https://s3-dms-prod.flipspaces.app/ba1719cc-02a7-4c1e-8c7a-b0ebe531d2c0,94054200,933e15e7-11c9-40f6-9f98-f01a27059786,TRUE,P1,PENDANT LIGHTS,,product,mm,P-LIG-DEC-PEN-522637,LIGHTING DECORATIVE LIGHTS PENDANT LIGHTS Elestro LIGHT 4 FLBR_LT03.2,,Decorative wall-mounted light with metallic finish backplate and horizontal stem. Designed with a conical diffuser for soft ambient illumination.,active,DECORATIVE LIGHTS,mm,df1a0510-2182-4eb7-8f34-3521f6f8b708,P_LIGHTING_DECORATIVE LIGHTS,,NOS,Decorative wall-mounted light with metallic finish backplate and horizontal stem. Designed with a conical diffuser for soft ambient illumination.,,,,,,,,,,,,,,,,,,,,,,,,3
MIO - PENDANT LIGHT,Rippl,KK005,LIGHTING,,IN,https://s3-dms-prod.flipspaces.app/53f234b6-8563-4759-82a2-c93b08bb4d08,94054200,47453288-fad6-49c3-b17c-0ad641d90f7c,TRUE,P1,PENDANT LIGHTS,,product,mm,P-LIG-DEC-PEN-794611,LIGHTING DECORATIVE LIGHTS PENDANT LIGHTS Rippl MIO - PENDANT LIGHT KK005 Kengo Collection,,"Inspired by the work of Japanese architect Kengo Kuma, this lamp series blends craftsmanship with contemporary elegance. 
 
 Made from cane and fabric, the designs highlight straight, clean lines that bring a calm, architectural rhythm into interiors. 
 
 The cane structure adds texture and character, while the fabric shade diffuses light into a warm, inviting glow.",active,DECORATIVE LIGHTS,,df1a0510-2182-4eb7-8f34-3521f6f8b708,P_LIGHTING_DECORATIVE LIGHTS,,NOS,,,Kengo Collection,,,,,,,,,,,,,,,,,,,,,,
ENSO - PENDANT LIGHT,Rippl,KK002,LIGHTING,,IN,https://s3-dms-prod.flipspaces.app/50ec5897-10cb-403a-96a3-cd01c3702a62,94054200,8c50caad-559b-45b0-be75-b29e04452edc,TRUE,P1,PENDANT LIGHTS,,product,mm,P-LIG-DEC-PEN-382759,LIGHTING DECORATIVE LIGHTS PENDANT LIGHTS Rippl ENSO - PENDANT LIGHT KK002 Kengo Collection,,"Inspired by the work of Japanese architect Kengo Kuma, this lamp series blends craftsmanship with contemporary elegance. 
 
 Made from cane and fabric, the designs highlight straight, clean lines that bring a calm, architectural rhythm into interiors. 
 
 The cane structure adds texture and character, while the fabric shade diffuses light into a warm, inviting glow.",active,DECORATIVE LIGHTS,,df1a0510-2182-4eb7-8f34-3521f6f8b708,P_LIGHTING_DECORATIVE LIGHTS,,NOS,,,Kengo Collection,,,,,,,,,,,,,,,,,,,,,,
ASAHI - PENDANT LIGHT,Rippl,KK001,LIGHTING,,IN,https://s3-dms-prod.flipspaces.app/e39ca58c-3855-4ac1-8bab-f6ff0ac69e19,94054200,78494071-7876-430e-b635-211682602268,TRUE,P1,PENDANT LIGHTS,,product,mm,P-LIG-DEC-PEN-311941,LIGHTING DECORATIVE LIGHTS PENDANT LIGHTS Rippl ASAHI - PENDANT LIGHT KK001 Kengo Collection,,"Inspired by the work of Japanese architect Kengo Kuma, this lamp series blends craftsmanship with contemporary elegance. 
 
 Made from cane and fabric, the designs highlight straight, clean lines that bring a calm, architectural rhythm into interiors. 
 
 The cane structure adds texture and character, while the fabric shade diffuses light into a warm, inviting glow.",active,DECORATIVE LIGHTS,,df1a0510-2182-4eb7-8f34-3521f6f8b708,P_LIGHTING_DECORATIVE LIGHTS,,NOS,,,Kengo Collection,,,,,,,,,,,,,,,,,,,,,,
PIXEL 4 - FLOOR LAMP,Rippl,PX004,LIGHTING,,IN,https://s3-dms-prod.flipspaces.app/cf144b92-3d99-4969-96c8-813fb271878e,94054200,4f37cfa8-b353-4e91-aab7-060f24346ea2,TRUE,P1,FLOOR LAMPS,,product,mm,P-LIG-DEC-FLO-825852,LIGHTING DECORATIVE LIGHTS FLOOR LAMPS Rippl PIXEL 4 - FLOOR LAMP PX004 Pixel Collection,,"In a world where technology meets timeless designs, the Pixel Light stands as a radiant symbol of modern elegance. Drawing inspiration from the pixel, the fundamental unit of digital imagery – this fixture transforms a simple concept into a bold statement of contemporary minimalism.",active,DECORATIVE LIGHTS,,df1a0510-2182-4eb7-8f34-3521f6f8b708,P_LIGHTING_DECORATIVE LIGHTS,,NOS,,,Pixel Collection,,,,,,,,,,,,,,,,,,,,,,
PIXEL 3 - PENDANT LIGHT,Rippl,PX003,LIGHTING,,IN,https://s3-dms-prod.flipspaces.app/8fd605cb-9d10-4219-a27e-f73189436fcb,94054200,e2970c2f-9cfb-43fc-a386-340b1c8f9754,TRUE,P1,PENDANT LIGHTS,,product,mm,P-LIG-DEC-PEN-544017,LIGHTING DECORATIVE LIGHTS PENDANT LIGHTS Rippl PIXEL 3 - PENDANT LIGHT PX003 Pixel Collection,,"In a world where technology meets timeless designs, the Pixel Light stands as a radiant symbol of modern elegance. Drawing inspiration from the pixel, the fundamental unit of digital imagery – this fixture transforms a simple concept into a bold statement of contemporary minimalism.",active,DECORATIVE LIGHTS,,df1a0510-2182-4eb7-8f34-3521f6f8b708,P_LIGHTING_DECORATIVE LIGHTS,,NOS,,,Pixel Collection,,,,,,,,,,,,,,,,,,,,,,
PIXEL 2 - TABLE LAMP,Rippl,PX002,LIGHTING,,IN,https://s3-dms-prod.flipspaces.app/596cf1ae-c477-471f-8bfc-c1d54ec23d2e,94054200,355fe5c7-a0bd-4be1-a5f1-f3362488eb7c,TRUE,P1,TABLE LAMPS,,product,mm,P-LIG-DEC-TAB-538178,LIGHTING DECORATIVE LIGHTS TABLE LAMPS Rippl PIXEL 2 - TABLE LAMP PX002 Pixel Collection,,"In a world where technology meets timeless designs, the Pixel Light stands as a radiant symbol of modern elegance. Drawing inspiration from the pixel, the fundamental unit of digital imagery – this fixture transforms a simple concept into a bold statement of contemporary minimalism.",active,DECORATIVE LIGHTS,,df1a0510-2182-4eb7-8f34-3521f6f8b708,P_LIGHTING_DECORATIVE LIGHTS,,NOS,,,Pixel Collection,,,,,,,,,,,,,,,,,,,,,,
PIXEL 1 - TABLE LAMP,Rippl,PX001,LIGHTING,,IN,https://s3-dms-prod.flipspaces.app/ed1a2dbb-1ad0-4263-beec-34f3fe89f4a9,94054200,f88be641-512f-4a65-b3fe-8b928fa27fa4,TRUE,P1,TABLE LAMPS,,product,mm,P-LIG-DEC-TAB-808118,LIGHTING DECORATIVE LIGHTS TABLE LAMPS Rippl PIXEL 1 - TABLE LAMP PX001 Pixel Collection,,"In a world where technology meets timeless designs, the Pixel Light stands as a radiant symbol of modern elegance. Drawing inspiration from the pixel, the fundamental unit of digital imagery – this fixture transforms a simple concept into a bold statement of contemporary minimalism.",active,DECORATIVE LIGHTS,,df1a0510-2182-4eb7-8f34-3521f6f8b708,P_LIGHTING_DECORATIVE LIGHTS,,NOS,,,Pixel Collection,,,,,,,,,,,,,,,,,,,,,,
HIMALAYAN WHISPER MINI - FLOOR LAMP,Rippl,AUM003,LIGHTING,,IN,https://s3-dms-prod.flipspaces.app/04222790-6817-46fc-9e57-5073391c8632,94054200,5e0282fe-76d7-4f8a-a4ff-15a1b7226bf3,TRUE,P1,FLOOR LAMPS,,product,mm,P-LIG-DEC-FLO-662671,LIGHTING DECORATIVE LIGHTS FLOOR LAMPS Rippl HIMALAYAN WHISPER MINI - FLOOR LAMP AUM003 Aum Collection 800mm (H) x 325mm (D),,"Crafted from the renewable Daphne plant of the Himalayan foothills, the durable Lokta paper casts a warm, golden glow, reminiscent of a sunset. The tiered silhouette combines traditional elegance with eco-conscious design, achieving a harmonious balance of natural beauty and refined style.",active,DECORATIVE LIGHTS,,df1a0510-2182-4eb7-8f34-3521f6f8b708,P_LIGHTING_DECORATIVE LIGHTS,,NOS,,https://s3-dms-prod.flipspaces.app/48ff4d8b-e043-477d-8720-e8a61a07fe6a,Aum Collection,325,800mm (H) x 325mm (D),800,55d966e0-2e86-4673-9366-53e68a78d036,,,,,,,,,,,,,,,,,,
HIMALAYAN WHISPER COMPACT - FLOOR LAMP,Rippl,AUM002,LIGHTING,,IN,https://s3-dms-prod.flipspaces.app/414479b6-a759-40fb-97d1-efd3b59495cf,94054200,9d8806ee-3674-4f4e-995c-ab0eb550df70,TRUE,P1,FLOOR LAMPS,,product,mm,P-LIG-DEC-FLO-385038,LIGHTING DECORATIVE LIGHTS FLOOR LAMPS Rippl HIMALAYAN WHISPER COMPACT - FLOOR LAMP AUM002 Aum Collection 1050mm (H) x 325mm (D),,"Crafted from the renewable Daphne plant of the Himalayan foothills, the durable Lokta paper casts a warm, golden glow, reminiscent of a sunset. The tiered silhouette combines traditional elegance with eco-conscious design, achieving a harmonious balance of natural beauty and refined style.",active,DECORATIVE LIGHTS,,df1a0510-2182-4eb7-8f34-3521f6f8b708,P_LIGHTING_DECORATIVE LIGHTS,,NOS,,https://s3-dms-prod.flipspaces.app/efe58d37-3167-4677-b5d2-c1b3afe8760d,Aum Collection,325,1050mm (H) x 325mm (D),1050,e0f868ca-6d66-4b16-b2bf-48cf41ebef3d,,,,,,,,,,,,,,,,,,
HIMALAYAN WHISPER GRAND - FLOOR LAMP,Rippl,AUM001,LIGHTING,,IN,https://s3-dms-prod.flipspaces.app/1ffb2cee-924b-444c-bbaa-def3f33c93a7,94054200,0050b175-b1e6-41f9-8de1-91d44c33923d,TRUE,P1,FLOOR LAMPS,,product,mm,P-LIG-DEC-FLO-264533,LIGHTING DECORATIVE LIGHTS FLOOR LAMPS Rippl HIMALAYAN WHISPER GRAND - FLOOR LAMP AUM001 Aum Collection 2085mm (H) x 615mm (D),,"Crafted from the renewable Daphne plant of the Himalayan foothills, the durable Lokta paper casts a warm, golden glow, reminiscent of a sunset. The tiered silhouette combines traditional elegance with eco-conscious design, achieving a harmonious balance of natural beauty and refined style.",active,DECORATIVE LIGHTS,,df1a0510-2182-4eb7-8f34-3521f6f8b708,P_LIGHTING_DECORATIVE LIGHTS,,NOS,,https://s3-dms-prod.flipspaces.app/7a37db2d-de93-4604-a2a3-f3dd8c457537,Aum Collection,615,2085mm (H) x 615mm (D),2085,da3d2d65-68d4-4324-afd4-ed358108d4e0,,,,,,,,,,,,,,,,,,
BERRY BLOOM - PENDANT LIGHT,Rippl,GB004,LIGHTING,,IN,https://s3-dms-prod.flipspaces.app/c0b8060c-ad63-4e24-84bb-2ec8763f7841,94054200,46d93b1e-7b14-4c50-b2e2-41e4a71a2af9,TRUE,P1,PENDANT LIGHTS,,product,mm,P-LIG-DEC-PEN-115089,LIGHTING DECORATIVE LIGHTS PENDANT LIGHTS Rippl BERRY BLOOM - PENDANT LIGHT GB004 Glow Berry Collection 285mm (H) x 285mm (D),,"GlowBerry's Lokta paper shades wrap soft, warm light in a perfect blend of transparency and glow.",active,DECORATIVE LIGHTS,,df1a0510-2182-4eb7-8f34-3521f6f8b708,P_LIGHTING_DECORATIVE LIGHTS,,NOS,,https://s3-dms-prod.flipspaces.app/3f3ed08b-101e-43bf-9704-c0ebc5276aa7,Glow Berry Collection,285,285mm (H) x 285mm (D),285,58a2ed5f-6bb2-45ee-939e-80170c18107c,,,,,,,,,,,,,,,,,,
BERRY WHISPER - PENDANT LIGHT,Rippl,GB003,LIGHTING,,IN,https://s3-dms-prod.flipspaces.app/84e25561-e648-4cde-bf40-68528414c117,94054200,20745d14-798c-4442-8824-33eab4aca5fd,TRUE,P1,PENDANT LIGHTS,,product,mm,P-LIG-DEC-PEN-980955,LIGHTING DECORATIVE LIGHTS PENDANT LIGHTS Rippl BERRY WHISPER - PENDANT LIGHT GB003 Glow Berry Collection 295mm (H) x 295mm (D),,"GlowBerry's Lokta paper shades wrap soft, warm light in a perfect blend of transparency and glow.",active,DECORATIVE LIGHTS,,df1a0510-2182-4eb7-8f34-3521f6f8b708,P_LIGHTING_DECORATIVE LIGHTS,,NOS,,https://s3-dms-prod.flipspaces.app/ed6cad44-9da3-4204-b5ca-00d23a0d5ae0,Glow Berry Collection,295,295mm (H) x 295mm (D),295,e1b91892-6dba-4ced-9acd-3cacae1cf5e4,,,,,,,,,,,,,,,,,,
BERRY CROWN - PENDANT LIGHT,Rippl,GB002,LIGHTING,,IN,https://s3-dms-prod.flipspaces.app/23d64113-686d-4ea5-8c01-c31b6c3ff29f,94054200,99420bd5-5d17-4d4c-a631-aaff19e0614d,TRUE,P1,PENDANT LIGHTS,,product,mm,P-LIG-DEC-PEN-491911,LIGHTING DECORATIVE LIGHTS PENDANT LIGHTS Rippl BERRY CROWN - PENDANT LIGHT GB002 Glow Berry Collection 1815mm (L) x 945mm (H),,"GlowBerry's Lokta paper shades wrap soft, warm light in a perfect blend of transparency and glow.",active,DECORATIVE LIGHTS,,df1a0510-2182-4eb7-8f34-3521f6f8b708,P_LIGHTING_DECORATIVE LIGHTS,,NOS,,https://s3-dms-prod.flipspaces.app/f73ea2f2-6d32-41b8-83ee-3307951c5d20,Glow Berry Collection,,1815mm (L) x 945mm (H),945,4b641ddc-410d-4b95-bfa1-260479299d44,1815,,,,,,,,,,,,,,,,,
