boq_name,brand,category,countries,default_image,dimensions,height,hsn_code,id,images,is_preferred,item_class,item_name,item_type,length1,lwhd_metric,sku_id,sku_name,specifications,status,sub_category,template_id,template_name,type,unit,width,color,item_style,product_colour_dynamic,space_tag,theme,config,t_metric,thickness,us_dimensions,us_specifications,Selling Price
ALUMINIUM SKIRTING - BLACK,Standard,DECORATIVES,IN,https://s3-dms-prod.flipspaces.app/d50c8381-f266-4eda-ac3d-15e4cf40f34a,100mm (W),,392690,74bfc77c-afa3-4c53-b401-a65aba36384c,https://s3-dms-prod.flipspaces.app/6d57d2fb-570b-4156-9a75-d0ce78f40c00,TRUE,P1,SKIRTING,product,,mm,P-DEC-SKI-SKI-173153,DECORATIVES SKIRTING AND PROFILE SKIRTING Standard ALUMINIUM SKIRTING - BLACK 100mm (W),"Anodised Aluminium Skirting is ideal for use where a modern, hi-tech finish is required. 
 
 
 The profile is designed to sit on top of the floor covering in order to provide a neat finish.
 
 
 Width : 100mm",active,SKIRTING AND PROFILE,b3176656-3446-4b54-8aad-5532bef2e259,P_DECORATIVES,,RFT,100,Black,,,,,,,,,,91
ALUMINIUM SKIRTING - BLACK,Standard,DECORATIVES,IN,https://s3-dms-prod.flipspaces.app/d50c8381-f266-4eda-ac3d-15e4cf40f34a,75mm (W),,392690,43767e72-1041-468b-b816-14baf7bbae1c,https://s3-dms-prod.flipspaces.app/6d57d2fb-570b-4156-9a75-d0ce78f40c00,TRUE,P1,SKIRTING,product,,mm,P-DEC-SKI-SKI-370386,DECORATIVES SKIRTING AND PROFILE SKIRTING Standard ALUMINIUM SKIRTING - BLACK 75mm (W),"Anodised Aluminium Skirting is ideal for use where a modern, hi-tech finish is required. 
 
 
 The profile is designed to sit on top of the floor covering in order to provide a neat finish.
 
 
 Width : 75mm",active,SKIRTING AND PROFILE,b3176656-3446-4b54-8aad-5532bef2e259,P_DECORATIVES,,RFT,75,Black,,,,,,,,,,70
ALUMINIUM SKIRTING - BLACK,Standard,DECORATIVES,IN,https://s3-dms-prod.flipspaces.app/d50c8381-f266-4eda-ac3d-15e4cf40f34a,50mm (W),,392690,3c458de8-c5d4-49df-baec-d8380b988fbd,https://s3-dms-prod.flipspaces.app/6d57d2fb-570b-4156-9a75-d0ce78f40c00,TRUE,P1,SKIRTING,product,,mm,P-DEC-SKI-SKI-355621,DECORATIVES SKIRTING AND PROFILE SKIRTING Standard ALUMINIUM SKIRTING - BLACK 50mm (W),"Anodised Aluminium Skirting is ideal for use where a modern, hi-tech finish is required. 
 
 
 The profile is designed to sit on top of the floor covering in order to provide a neat finish.
 
 
 Width : 50mm",active,SKIRTING AND PROFILE,b3176656-3446-4b54-8aad-5532bef2e259,P_DECORATIVES,,RFT,50,Black,,,,,,,,,,51
ALUMINIUM SKIRTING - SILVER,Standard,DECORATIVES,IN,https://s3-dms-prod.flipspaces.app/e1cacdf8-418b-4f87-a960-48e0ca8a137d,100mm (W),,392690,8149bcdf-e4fa-4c79-b23a-e9d24cf244ce,https://s3-dms-prod.flipspaces.app/779209f1-c07a-4c7d-bcce-2750d2ab90bd,TRUE,P1,SKIRTING,product,,mm,P-DEC-SKI-SKI-424382,DECORATIVES SKIRTING AND PROFILE SKIRTING Standard ALUMINIUM SKIRTING - SILVER 100mm (W),"Anodised Aluminium Skirting is ideal for use where a modern, hi-tech finish is required. 
 
 
 The profile is designed to sit on top of the floor covering in order to provide a neat finish.
 
 
 Width : 100mm",active,SKIRTING AND PROFILE,b3176656-3446-4b54-8aad-5532bef2e259,P_DECORATIVES,,RFT,100,Silver,,,,,,,,,,86
ALUMINIUM SKIRTING - SILVER,Standard,DECORATIVES,IN,https://s3-dms-prod.flipspaces.app/e1cacdf8-418b-4f87-a960-48e0ca8a137d,75mm (W),,392690,03387214-b25b-4d43-b18f-7d695bc599b5,https://s3-dms-prod.flipspaces.app/779209f1-c07a-4c7d-bcce-2750d2ab90bd,TRUE,P1,SKIRTING,product,,mm,P-DEC-SKI-SKI-487271,DECORATIVES SKIRTING AND PROFILE SKIRTING Standard ALUMINIUM SKIRTING - SILVER 75mm (W),"Anodised Aluminium Skirting is ideal for use where a modern, hi-tech finish is required. 
 
 
 The profile is designed to sit on top of the floor covering in order to provide a neat finish.
 
 
 Width : 75mm",active,SKIRTING AND PROFILE,b3176656-3446-4b54-8aad-5532bef2e259,P_DECORATIVES,,RFT,75,Silver,,,,,,,,,,66
ALUMINIUM SKIRTING - SILVER,Standard,DECORATIVES,IN,https://s3-dms-prod.flipspaces.app/e1cacdf8-418b-4f87-a960-48e0ca8a137d,50mm (W),,392690,54842b35-d81a-4170-8a7e-50d43664f111,https://s3-dms-prod.flipspaces.app/779209f1-c07a-4c7d-bcce-2750d2ab90bd,TRUE,P1,SKIRTING,product,,mm,P-DEC-SKI-SKI-731655,DECORATIVES SKIRTING AND PROFILE SKIRTING Standard ALUMINIUM SKIRTING - SILVER 50mm (W),"Anodised Aluminium Skirting is ideal for use where a modern, hi-tech finish is required. 
 
 
 The profile is designed to sit on top of the floor covering in order to provide a neat finish.
 
 
 Width : 50mm",active,SKIRTING AND PROFILE,b3176656-3446-4b54-8aad-5532bef2e259,P_DECORATIVES,,RFT,50,Silver,,,,,,,,,,49
VENETIAN BLIND - EASY LIFT SYSTEM,Standard,DECORATIVES,IN,https://s3-dms-prod.flipspaces.app/f776c119-d720-4445-8538-d9520eca93f7,2400mm (L) x 50mm (H) x 3mm (T),50,39253000,c0a23ef6-4166-498e-9172-f07c68d4bffb,,TRUE,P1,VENETIAN BLIND,product,2400,mm,P-DEC-BLI-VEN-272942,DECORATIVES BLIND VENETIAN BLIND EASY LIFT SYSTEM Standard VENETIAN BLIND - EASY LIFT SYSTEM 2400mm (L) x 50mm (H) x 3mm (T),"Style: Horizontal Slates
 
 
 
 Thickness: >=3mm
 
 
 
 Features: Natural Wooden, Waterproof, Antibacterial
 
 
 
 Surface Treatment: UV eco-friendly coating / Non Voc water based coating",active,BLIND,b3176656-3446-4b54-8aad-5532bef2e259,P_DECORATIVES,,SQFT,,,,VENETIAN BLIND WOODEN SWATCHES,,,EASY LIFT SYSTEM,mm,3,,,
VENETIAN BLIND - EASY LIFT SYSTEM,Standard,DECORATIVES,IN,https://s3-dms-prod.flipspaces.app/f776c119-d720-4445-8538-d9520eca93f7,1800mm (L) x 50mm (H) x 3mm (T),50,39253000,525a84b7-7c7e-4900-a27b-5d5ca3b2d83f,,TRUE,P1,VENETIAN BLIND,product,1800,mm,P-DEC-BLI-VEN-274839,DECORATIVES BLIND VENETIAN BLIND EASY LIFT SYSTEM Standard VENETIAN BLIND - EASY LIFT SYSTEM 1800mm (L) x 50mm (H) x 3mm (T),"Style: Horizontal Slates
 
 
 
 Thickness: >=3mm
 
 
 
 Features: Natural Wooden, Waterproof, Antibacterial
 
 
 
 Surface Treatment: UV eco-friendly coating / Non Voc water based coating",active,BLIND,b3176656-3446-4b54-8aad-5532bef2e259,P_DECORATIVES,,SQFT,,,,VENETIAN BLIND WOODEN SWATCHES,,,EASY LIFT SYSTEM,mm,3,,,364
VENETIAN BLIND - CORD LOCK SYSTEM,Standard,DECORATIVES,IN,https://s3-dms-prod.flipspaces.app/a1daf131-b0ce-458d-a543-2d9fdc9fff5c,2400mm (L) x 50mm (H) x 3mm (T),50,39253000,7b678f91-7693-40b0-8425-1b215a8afa17,,TRUE,P1,VENETIAN BLIND,product,2400,mm,P-DEC-BLI-VEN-481132,DECORATIVES BLIND VENETIAN BLIND CORD LOCK SYSTEM Standard VENETIAN BLIND - CORD LOCK SYSTEM 2400mm (L) x 50mm (H) x 3mm (T),"Style: Horizontal Slates
 
 
 
 Thickness: >=3mm
 
 
 
 Features: Natural Wooden, Waterproof, Antibacterial
 
 
 
 Surface Treatment: UV eco-friendly coating / Non Voc water based coating",active,BLIND,b3176656-3446-4b54-8aad-5532bef2e259,P_DECORATIVES,,SQFT,,,,VENETIAN BLIND WOODEN SWATCHES,,,CORD LOCK SYSTEM,mm,3,,,
VENETIAN BLIND - CORD LOCK SYSTEM,Standard,DECORATIVES,IN,https://s3-dms-prod.flipspaces.app/a1daf131-b0ce-458d-a543-2d9fdc9fff5c,1800mm (L) x 50mm (H) x 3mm (T),50,39253000,aa07a221-a693-4e98-9345-02d7da9201fd,,TRUE,P1,VENETIAN BLIND,product,1800,mm,P-DEC-BLI-VEN-627120,DECORATIVES BLIND VENETIAN BLIND CORD LOCK SYSTEM Standard VENETIAN BLIND - CORD LOCK SYSTEM 1800mm (L) x 50mm (H) x 3mm (T),"Style: Horizontal Slates
 
 
 
 Thickness: >=3mm
 
 
 
 Features: Natural Wooden, Waterproof, Antibacterial
 
 
 
 Surface Treatment: UV eco-friendly coating / Non Voc water based coating",active,BLIND,b3176656-3446-4b54-8aad-5532bef2e259,P_DECORATIVES,,SQFT,,,,VENETIAN BLIND WOODEN SWATCHES,,,CORD LOCK SYSTEM,mm,3,,,364
