boq_name,brand,catalogue_code_dynamic,catalogue_series_dynamic,category,color,countries,default_image,dimensions,hsn_code,id,images,is_preferred,item_class,item_name,item_style,item_type,length1,lwhd_metric,sku_id,sku_name,space_tag,specifications,status,sub_category,t_metric,template_id,template_name,theme,thickness,type,unit,vendor_brand_dynamic,width,model_3d,material_dynamic,us_dimensions,us_specifications,Selling Price
BERRY - FLOCKED FLOORING,Flotex,530002,,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/9281224b-eff5-4eab-b75d-4870f5f4d1d7,30000mm (L) x 2000mm (W) x 4.3mm (T),5702,b7203481-172b-42e1-ae79-6c844ff45dad,https://s3-dms-prod.flipspaces.app/cdc53302-6bf5-43d2-9963-0bb920486a60,TRUE,P1,FLOCKED FLOORING,RECTANGULAR SHAPE SHEET,product,30000,mm,P-FLR-TEX-FLO-495633,FLOORING TEXTILE FLOORING FLOCKED FLOORING SHEET Flotex BERRY - FLOCKED FLOORING 530002 NYLON 30000mm (L) x 2000mm (W) x 4.3mm (T),,"Berry - Flocked Flooring features striking geometric patterns, blending modern trends with timeless elegance
 
 
 Advanced digital printing technology ensures detailed textures, bold colors, and graphic patterns
 
 
 
 
 
 --Material : 
 
 
 ++Nylon 6.6 Fibres
 
 
 --Sheet Size : 
 
 
 ++30,000 X 2,000mm (30 X 2 metres)
 
 
 --Thickness : 
 
 
 ++4.3mm
 
 
 --Light Reflective Value (LRV) : 
 
 
 ++20%
 
 
 
 
 
 Delivery Lead Time : 15 Days
 
 
 Exclusive of Installation cost",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,4.3,SHEET,SQFT,,2000,,NYLON,"100' (L) X 6'-8"" (W) X 0.17"" (T)","Berry - Flocked Flooring features striking geometric patterns, blending modern trends with timeless elegance
 
 
 Advanced digital printing technology ensures detailed textures, bold colors, and graphic patterns
 
 
 
 
 
 --Material : 
 
 
 ++Nylon 6.6 Fibres
 
 
 --Sheet Size : 
 
 
 ++30,000 X 2,000mm (30 X 2 metres)
 
 
 --Thickness : 
 
 
 ++4.3mm
 
 
 --Light Reflective Value (LRV) : 
 
 
 ++20%
 
 
 
 
 
 Delivery Lead Time : 15 Days
 
 
 Exclusive of Installation cost",575
AMERICAN OAK - FLOCKED FLOORING,Flotex,10036,,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/3577f8c4-39bc-40ea-9788-9799023ec206,30000mm (L) x 2000mm (W) x 4.3mm (T),5702,750517af-8e1d-43b9-b719-56632c87827d,https://s3-dms-prod.flipspaces.app/5811450b-e86f-40f7-9bd5-8ccfd66434ef,TRUE,P1,FLOCKED FLOORING,RECTANGULAR SHAPE SHEET,product,30000,mm,P-FLR-TEX-FLO-668731,FLOORING TEXTILE FLOORING FLOCKED FLOORING SHEET Flotex AMERICAN OAK - FLOCKED FLOORING 10036 NYLON 30000mm (L) x 2000mm (W) x 4.3mm (T),,"American Oak - Flocked Flooring offers the realistic look of wood with the warmth, acoustics, and comfort of carpet 
 
 
 Advanced digital printing technology ensures life-like textures and vibrant visuals
 
 
 
 
 
 --Material : 
 
 
 ++Nylon 6.6 Fibres
 
 
 --Sheet Size : 
 
 
 ++30,000 X 2,000mm (30 X 2 metres)
 
 
 --Thickness : 
 
 
 ++4.3mm
 
 
 
 
 
 Delivery Lead Time : 15 Days
 
 
 Exclusive of Installation cost",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,4.3,SHEET,SQFT,,2000,,NYLON,"100' (L) X 6'-8"" (W) X 0.17"" (T)","American Oak - Flocked Flooring offers the realistic look of wood with the warmth, acoustics, and comfort of carpet 
 
 
 Advanced digital printing technology ensures life-like textures and vibrant visuals
 
 
 
 
 
 --Material : 
 
 
 ++Nylon 6.6 Fibres
 
 
 --Sheet Size : 
 
 
 ++30,000 X 2,000mm (30 X 2 metres)
 
 
 --Thickness : 
 
 
 ++4.3mm
 
 
 
 
 
 Delivery Lead Time : 15 Days
 
 
 Exclusive of Installation cost",575
METRO NIMBUS - FLOCKED FLOORING,Flotex,246005,,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/e5df12bd-0cea-4a3e-bf20-8eae0759b812,30000mm (L) x 2000mm (W) x 4.3mm (T),5702,7ad35675-cf4e-4e1d-b5c3-14bffa7452cc,https://s3-dms-prod.flipspaces.app/b1c8d930-3ad6-4c20-9b10-a55ec799b8a2,TRUE,P1,FLOCKED FLOORING,RECTANGULAR SHAPE SHEET,product,30000,mm,P-FLR-TEX-FLO-546375,FLOORING TEXTILE FLOORING FLOCKED FLOORING SHEET Flotex METRO NIMBUS - FLOCKED FLOORING 246005 NYLON 30000mm (L) x 2000mm (W) x 4.3mm (T),,"Metro Nimbus - Flocked flooring, brings a harmonious fusion of cutting edge design & superior functionality,
 
 
 Perfect for a wide range of environments
 
 
 
 
 
 --Material : 
 
 
 ++Nylon 6.6 Fibres
 
 
 --Sheet Size : 
 
 
 ++30,000 X 2,000mm (30 X 2 metres)
 
 
 --Thickness : 
 
 
 ++4.3mm
 
 
 --Light Reflective Value (LRV) : 
 
 
 ++13%
 
 
 
 
 
 Delivery Lead Time : 15 Days
 
 
 Exclusive of Installation cost",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,4.3,SHEET,SQFT,,2000,,NYLON,"100' (L) X 6'-8"" (W) X 0.17"" (T)","Metro Nimbus - Flocked flooring, brings a harmonious fusion of cutting edge design & superior functionality,
 
 
 Perfect for a wide range of environments
 
 
 
 
 
 --Material : 
 
 
 ++Nylon 6.6 Fibres
 
 
 --Sheet Size : 
 
 
 ++30,000 X 2,000mm (30 X 2 metres)
 
 
 --Thickness : 
 
 
 ++4.3mm
 
 
 --Light Reflective Value (LRV) : 
 
 
 ++13%
 
 
 
 
 
 Delivery Lead Time : 15 Days
 
 
 Exclusive of Installation cost",575
METRO CHOCOLATE - FLOCKED FLOORING,Flotex,246010,,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/c3e03517-6cc6-4795-a57f-21995b623d29,30000mm (L) x 2000mm (W) x 4.3mm (T),5702,df700a59-2056-41a8-8acc-409ba03ca019,https://s3-dms-prod.flipspaces.app/f62bb1bb-6209-4efa-b618-6d789a1818ec,TRUE,P1,FLOCKED FLOORING,RECTANGULAR SHAPE SHEET,product,30000,mm,P-FLR-TEX-FLO-319205,FLOORING TEXTILE FLOORING FLOCKED FLOORING SHEET Flotex METRO CHOCOLATE - FLOCKED FLOORING 246010 NYLON 30000mm (L) x 2000mm (W) x 4.3mm (T),,"Metro - Flocked Flooring is designed to perform under pressure,
 
 
 this flooring is engineered to withstand high-traffic areas while providing exceptional 
 
 
 durability, comfort, and sound absorption
 
 
 
 
 
 --Material : 
 
 
 ++Nylon 6.6 Fibres
 
 
 --Sheet Size : 
 
 
 ++30,000 X 2,000mm (30 X 2 metres)
 
 
 --Thickness : 
 
 
 ++4.3mm
 
 
 --Light Reflective Value (LRV) : 
 
 
 ++3%
 
 
 
 
 
 Delivery Lead Time : 15 Days
 
 
 Exclusive of Installation cost",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,4.3,SHEET,SQFT,,2000,,NYLON,"100' (L) X 6'-8"" (W) X 0.17"" (T)","Metro - Flocked Flooring is designed to perform under pressure,
 
 
 this flooring is engineered to withstand high-traffic areas while providing exceptional 
 
 
 durability, comfort, and sound absorption
 
 
 
 
 
 --Material : 
 
 
 ++Nylon 6.6 Fibres
 
 
 --Sheet Size : 
 
 
 ++30,000 X 2,000mm (30 X 2 metres)
 
 
 --Thickness : 
 
 
 ++4.3mm
 
 
 --Light Reflective Value (LRV) : 
 
 
 ++3%
 
 
 
 
 
 Delivery Lead Time : 15 Days
 
 
 Exclusive of Installation cost",575
METRO RED - FLOCKED FLOORING,Flotex,246026,,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/217f8eb9-fc03-4fcd-a4a5-8fb062ff2160,30000mm (L) x 2000mm (W) x 4.3mm (T),5702,b5377a63-0d8a-47cc-b67d-4969d4cb6a7d,https://s3-dms-prod.flipspaces.app/0b138da7-8cf3-44a6-94d4-e2196d77c714,TRUE,P1,FLOCKED FLOORING,RECTANGULAR SHAPE SHEET,product,30000,mm,P-FLR-TEX-FLO-257976,FLOORING TEXTILE FLOORING FLOCKED FLOORING SHEET Flotex METRO RED - FLOCKED FLOORING 246026 NYLON 30000mm (L) x 2000mm (W) x 4.3mm (T),,"Discover the perfect blend of aesthetic appeal and practical performance with Metro Red - Flocked Flooring
 
 
 
 
 
 --Material : 
 
 
 ++Nylon 6.6 Fibres
 
 
 --Sheet Size : 
 
 
 ++30,000 X 2,000mm (30 X 2 metres)
 
 
 --Thickness : 
 
 
 ++4.3mm
 
 
 --Light Reflective Value (LRV) : 
 
 
 ++10%
 
 
 
 
 
 Delivery Lead Time : 15 Days
 
 
 Exclusive of Installation cost",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,4.3,SHEET,SQFT,,2000,,NYLON,"100' (L) X 6'-8"" (W) X 0.17"" (T)","Discover the perfect blend of aesthetic appeal and practical performance with Metro Red - Flocked Flooring
 
 
 
 
 
 --Material : 
 
 
 ++Nylon 6.6 Fibres
 
 
 --Sheet Size : 
 
 
 ++30,000 X 2,000mm (30 X 2 metres)
 
 
 --Thickness : 
 
 
 ++4.3mm
 
 
 --Light Reflective Value (LRV) : 
 
 
 ++10%
 
 
 
 
 
 Delivery Lead Time : 15 Days
 
 
 Exclusive of Installation cost",575
METRO LAGOON - FLOCKED FLOORING,Flotex,246020,,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/3ced0aea-eef3-4b73-bb88-31c79459f861,30000mm (L) x 2000mm (W) x 4.3mm (T),5702,9cbb3c91-96a4-4c2e-968b-c4790eee3a90,https://s3-dms-prod.flipspaces.app/4a75da6b-ce1b-4e7f-9b8b-a65fc2ae17a8,TRUE,P1,FLOCKED FLOORING,RECTANGULAR SHAPE SHEET,product,30000,mm,P-FLR-TEX-FLO-473930,FLOORING TEXTILE FLOORING FLOCKED FLOORING SHEET Flotex METRO LAGOON - FLOCKED FLOORING 246020 NYLON 30000mm (L) x 2000mm (W) x 4.3mm (T),,"The Metro Lagoon - Flocked Flooring is crafted to meet the demands of high traffic areas 
 
 
 while maintaining a sophisticated, modern look that elevates any interior space
 
 
 
 
 
 --Material : 
 
 
 ++Nylon 6.6 Fibres
 
 
 --Sheet Size : 
 
 
 ++30,000 X 2,000mm (30 X 2 metres)
 
 
 --Thickness : 
 
 
 ++4.3mm
 
 
 --Light Reflective Value (LRV) : 
 
 
 ++10%
 
 
 
 
 
 Delivery Lead Time : 15 Days
 
 
 Exclusive of Installation cost",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,4.3,SHEET,SQFT,,2000,,NYLON,"100' (L) X 6'-8"" (W) X 0.17"" (T)","The Metro Lagoon - Flocked Flooring is crafted to meet the demands of high traffic areas 
 
 
 while maintaining a sophisticated, modern look that elevates any interior space
 
 
 
 
 
 --Material : 
 
 
 ++Nylon 6.6 Fibres
 
 
 --Sheet Size : 
 
 
 ++30,000 X 2,000mm (30 X 2 metres)
 
 
 --Thickness : 
 
 
 ++4.3mm
 
 
 --Light Reflective Value (LRV) : 
 
 
 ++10%
 
 
 
 
 
 Delivery Lead Time : 15 Days
 
 
 Exclusive of Installation cost",575
METRO JADE - FLOCKED FLOORING,Flotex,246028,,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/3dffab86-f631-4a94-80ac-2def7da259e0,30000mm (L) x 2000mm (W) x 4.3mm (T),5702,1bd7ab39-dc17-4cd3-98d9-2e09b643a0dc,https://s3-dms-prod.flipspaces.app/6362583f-ed7c-476d-8408-119f43a2369b,TRUE,P1,FLOCKED FLOORING,RECTANGULAR SHAPE SHEET,product,30000,mm,P-FLR-TEX-FLO-272559,FLOORING TEXTILE FLOORING FLOCKED FLOORING SHEET Flotex METRO JADE - FLOCKED FLOORING 246028 NYLON 30000mm (L) x 2000mm (W) x 4.3mm (T),,"The Metro Jade - Flocked Flooring design subtly conveys texture,
 
 
 providing an authentic look without distinct shapes or patterns
 
 
 
 
 
 --Material : 
 
 
 ++Nylon 6.6 Fibres
 
 
 --Sheet Size : 
 
 
 ++30,000 X 2,000mm (30 X 2 metres)
 
 
 --Thickness : 
 
 
 ++4.3mm
 
 
 --Light Reflective Value (LRV) : 
 
 
 ++7%
 
 
 
 
 
 Delivery Lead Time : 15 Days
 
 
 Exclusive of Installation cost",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,4.3,SHEET,SQFT,,2000,,NYLON,"100' (L) X 6'-8"" (W) X 0.17"" (T)","The Metro Jade - Flocked Flooring design subtly conveys texture,
 
 
 providing an authentic look without distinct shapes or patterns
 
 
 
 
 
 --Material : 
 
 
 ++Nylon 6.6 Fibres
 
 
 --Sheet Size : 
 
 
 ++30,000 X 2,000mm (30 X 2 metres)
 
 
 --Thickness : 
 
 
 ++4.3mm
 
 
 --Light Reflective Value (LRV) : 
 
 
 ++7%
 
 
 
 
 
 Delivery Lead Time : 15 Days
 
 
 Exclusive of Installation cost",575
ASH - FLOCKED FLOORING,Flotex,290010,,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/6caf2590-74cd-48a7-b773-26bd91a91937,30000mm (L) x 2000mm (W) x 4.3mm (T),5702,68efe31e-f443-464c-a5c1-5d3caa8531e6,https://s3-dms-prod.flipspaces.app/875e25ad-87a6-4d6d-929c-1d8f99b6c583,TRUE,P1,FLOCKED FLOORING,RECTANGULAR SHAPE SHEET,product,30000,mm,P-FLR-TEX-FLO-966734,FLOORING TEXTILE FLOORING FLOCKED FLOORING SHEET Flotex ASH - FLOCKED FLOORING 290010 NYLON 30000mm (L) x 2000mm (W) x 4.3mm (T),,"Ash - Flocked Flooring features a soft, natural design that creates a calm, 
 
 
 subtle atmosphere, making it an ideal choice for spaces where a muted ambiance is desired
 
 
 
 
 
 --Material : 
 
 
 ++Nylon 6.6 Fibres
 
 
 --Sheet Size : 
 
 
 ++30,000 X 2,000mm (30 X 2 metres)
 
 
 --Thickness : 
 
 
 ++4.3mm
 
 
 --Light Reflective Value (LRV) : 
 
 
 ++4%
 
 
 
 
 
 Delivery Lead Time : 15 Days
 
 
 Exclusive of Installation cost",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,4.3,SHEET,SQFT,,2000,,NYLON,"3'-4"" (L) X 10"" (W) X 0.2"" (T)","Ash - Flocked Flooring features a soft, natural design that creates a calm, 
 
 
 subtle atmosphere, making it an ideal choice for spaces where a muted ambiance is desired
 
 
 
 
 
 --Material : 
 
 
 ++Nylon 6.6 Fibres
 
 
 --Sheet Size : 
 
 
 ++30,000 X 2,000mm (30 X 2 metres)
 
 
 --Thickness : 
 
 
 ++4.3mm
 
 
 --Light Reflective Value (LRV) : 
 
 
 ++4%
 
 
 
 
 
 Delivery Lead Time : 15 Days
 
 
 Exclusive of Installation cost",575
CHARCOAL - FLOCKED FLOORING,Flotex,1110024,,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/8b41cdbd-5744-41f2-8a4c-6a35e159fabe,1000mm (L) x 250mm (W) x 5mm (T),5702,8a461b28-09ad-48d0-97cc-c3d0ddcc70d0,https://s3-dms-prod.flipspaces.app/a669af17-2816-42a3-9176-59054714b99b,TRUE,P1,FLOCKED FLOORING,RECTANGULAR SHAPE TILE,product,1000,mm,P-FLR-TEX-FLO-187690,FLOORING TEXTILE FLOORING FLOCKED FLOORING PLANK Flotex CHARCOAL - FLOCKED FLOORING 1110024 NYLON 1000mm (L) x 250mm (W) x 5mm (T),,"Charcoal - Flocked Flooring features a natural, textured, versatile, & elegant design
 
 
 
 The planks can be installed in a variety of patterns.
 
 
 
 
 
 
 
 --Material : 
 
 
 
 ++Nylon 6.6 Fibres
 
 
 
 --Plank Size : 
 
 
 
 ++1000 X 250mm
 
 
 
 --Thickness : 
 
 
 
 ++5mm
 
 
 
 --Light Reflective Value (LRV) : 
 
 
 
 ++9%
 
 
 
 
 
 
 
 Delivery Lead Time : 15 Days
 
 
 
 Exclusive of Installation cost",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,5,PLANK,SQFT,,250,,NYLON,"3'-4"" (L) X 10"" (W) X 0.2"" (T)","Charcoal - Flocked Flooring features a natural, textured, versatile, & elegant design
 
 
 
 The planks can be installed in a variety of patterns.
 
 
 
 
 
 
 
 --Material : 
 
 
 
 ++Nylon 6.6 Fibres
 
 
 
 --Plank Size : 
 
 
 
 ++1000 X 250mm
 
 
 
 --Thickness : 
 
 
 
 ++5mm
 
 
 
 --Light Reflective Value (LRV) : 
 
 
 
 ++9%
 
 
 
 
 
 
 
 Delivery Lead Time : 15 Days
 
 
 
 Exclusive of Installation cost",575
CEMENT - FLOCKED FLOORING,Flotex,111002,,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/7a2abc2c-cb66-45fd-a9be-343d1b6ddc38,1000mm (L) x 250mm (W) x 5mm (T),5702,07dc68ea-5b22-4ae9-a06c-d9a02d2eee06,https://s3-dms-prod.flipspaces.app/118cb5db-7a9e-48bc-8dd3-52c57f0fc446,TRUE,P1,FLOCKED FLOORING,RECTANGULAR SHAPE TILE,product,1000,mm,P-FLR-TEX-FLO-794503,FLOORING TEXTILE FLOORING FLOCKED FLOORING PLANK Flotex CEMENT - FLOCKED FLOORING 111002 NYLON 1000mm (L) x 250mm (W) x 5mm (T),,"Cement - Flocked Flooring combines organic textures with a linear design, 
 
 
 
 offering versatile, understated patterns perfect for any space
 
 
 
 The planks can be installed in a variety of patterns.
 
 
 
 
 
 
 
 --Material : 
 
 
 
 ++Nylon 6.6 Fibres
 
 
 
 --Plank Size : 
 
 
 
 ++1000 X 250mm
 
 
 
 --Thickness : 
 
 
 
 ++5mm
 
 
 
 --Light Reflective Value (LRV) : 
 
 
 
 ++13%
 
 
 
 
 
 
 
 Delivery Lead Time : 15 Days
 
 
 
 Exclusive of Installation cost",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,5,PLANK,SQFT,,250,,NYLON,"3'-4"" (L) X 10"" (W) X 0.2"" (T)","Cement - Flocked Flooring combines organic textures with a linear design, 
 
 
 
 offering versatile, understated patterns perfect for any space
 
 
 
 The planks can be installed in a variety of patterns.
 
 
 
 
 
 
 
 --Material : 
 
 
 
 ++Nylon 6.6 Fibres
 
 
 
 --Plank Size : 
 
 
 
 ++1000 X 250mm
 
 
 
 --Thickness : 
 
 
 
 ++5mm
 
 
 
 --Light Reflective Value (LRV) : 
 
 
 
 ++13%
 
 
 
 
 
 
 
 Delivery Lead Time : 15 Days
 
 
 
 Exclusive of Installation cost",575
