boq_name,brand,catalogue_code_dynamic,catalogue_series_dynamic,category,color,countries,default_image,dimensions,hsn_code,id,is_preferred,item_class,item_name,item_style,item_type,length1,lwhd_metric,sku_id,sku_name,space_tag,specifications,status,sub_category,t_metric,template_id,template_name,theme,thickness,type,unit,width,images,default_image_mobile,us_dimensions,us_specifications,vendor_brand_dynamic,vendor_catalogue_code_dynamic,vendor_catalogue_series_dynamic,model_3d,finish_dynamic,Selling Price
HOMOGENEOUS VINYL,Forbo,50485 Obsidian,Sphera Elite,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/b79656b7-5644-4e04-bc92-ae78121ef7cc,27000mm (L) x 2000mm (W) x 2mm (T),39181090,1a1054d4-0801-4a3f-95bf-a9eeb758f196,TRUE,P1,LVT,,product,27000,mm,P-FLR-RES-LVT-973688,FLOORING RESILIENT FLOORING LVT Homogeneous Vinyl Forbo HOMOGENEOUS VINYL 50485 Obsidian Sphera Elite 27000mm (L) x 2000mm (W) x 2mm (T),,"Composition: Made from a single, uniform layer of vinyl throughout its entire thickness. Color and pattern run all the way through the material.
 
 Thickness : 2mm 
 
 Weight: 2700g/m2
 
 Resistance to Chemicals: Very Good
 
 Delivery Timeline: 3-4 weeks
 
 Exclusive of Installation cost",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,2,Homogeneous Vinyl,SQFT,2000,,,,,,,,,,260
HOMOGENEOUS VINYL,Forbo,50489 Pyrite,Sphera Elite,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/d5521d9b-11fe-4f05-a57a-c7f41e6418d2,27000mm (L) x 2000mm (W) x 2mm (T),39181090,a17a4cf9-57fc-4957-8204-b6b120fe8268,TRUE,P1,LVT,,product,27000,mm,P-FLR-RES-LVT-402886,FLOORING RESILIENT FLOORING LVT Homogeneous Vinyl Forbo HOMOGENEOUS VINYL 50489 Pyrite Sphera Elite 27000mm (L) x 2000mm (W) x 2mm (T),,"Composition: Made from a single, uniform layer of vinyl throughout its entire thickness. Color and pattern run all the way through the material.
 
 Thickness : 2mm 
 
 Weight: 2700g/m2
 
 Resistance to Chemicals: Very Good
 
 Delivery Timeline: 3-4 weeks
 
 Exclusive of Installation cost",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,2,Homogeneous Vinyl,SQFT,2000,https://s3-dms-prod.flipspaces.app/a6c711ff-0d4b-442f-bbe0-a4a32244fe49,,,,,,,,,260
HOMOGENEOUS VINYL,Forbo,50482 Smokey Quartz,Sphera Elite,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/19bc7d3f-cd5e-4720-9055-a7b2f4518760,27000mm (L) x 2000mm (W) x 2mm (T),39181090,17c1bffc-242b-4907-a747-d37a44c21730,TRUE,P1,LVT,,product,27000,mm,P-FLR-RES-LVT-499067,FLOORING RESILIENT FLOORING LVT Homogeneous Vinyl Forbo HOMOGENEOUS VINYL 50482 Smokey Quartz Sphera Elite 27000mm (L) x 2000mm (W) x 2mm (T),,"Composition: Made from a single, uniform layer of vinyl throughout its entire thickness. Color and pattern run all the way through the material.
 
 Thickness : 2mm 
 
 Weight: 2700g/m2
 
 Resistance to Chemicals: Very Good
 
 Delivery Timeline: 3-4 weeks
 
 Exclusive of Installation cost",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,2,Homogeneous Vinyl,SQFT,2000,,,,,,,,,,260
HOMOGENEOUS VINYL,Forbo,50497 Zircon,Sphera Elite,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/342bdc9f-4df0-47b0-b851-e79a729e8f6a,27000mm (L) x 2000mm (W) x 2mm (T),39181090,54f37809-6bf0-46f9-8288-8b54bae848d8,TRUE,P1,LVT,,product,27000,mm,P-FLR-RES-LVT-871291,FLOORING RESILIENT FLOORING LVT Homogeneous Vinyl Forbo HOMOGENEOUS VINYL 50497 Zircon Sphera Elite 27000mm (L) x 2000mm (W) x 2mm (T),,"Composition: Made from a single, uniform layer of vinyl throughout its entire thickness. Color and pattern run all the way through the material.
 
 Thickness : 2mm 
 
 Weight: 2700g/m2
 
 Resistance to Chemicals: Very Good
 
 Delivery Timeline: 3-4 weeks
 
 Exclusive of Installation cost",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,2,Homogeneous Vinyl,SQFT,2000,https://s3-dms-prod.flipspaces.app/389acfc1-3143-447a-8908-54507b9b46b8,,,,,,,,,260
HOMOGENEOUS VINYL,Forbo,50493 Iris Agate,Sphera Elite,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/e37f6945-7bfd-4a0b-af8c-461446a40597,27000mm (L) x 2000mm (W) x 2mm (T),39181090,685ea85d-8bd2-4978-ab00-fc7f21cb7861,TRUE,P1,LVT,,product,27000,mm,P-FLR-RES-LVT-332640,FLOORING RESILIENT FLOORING LVT Homogeneous Vinyl Forbo HOMOGENEOUS VINYL 50493 Iris Agate Sphera Elite 27000mm (L) x 2000mm (W) x 2mm (T),,"Composition: Made from a single, uniform layer of vinyl throughout its entire thickness. Color and pattern run all the way through the material.
 
 Thickness : 2mm 
 
 Weight: 2700g/m2
 
 Resistance to Chemicals: Very Good
 
 Delivery Timeline: 3-4 weeks
 
 Exclusive of Installation cost",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,2,Homogeneous Vinyl,SQFT,2000,https://s3-dms-prod.flipspaces.app/f03bf28f-39e3-4743-a788-93690253f35e,,,,,,,,,260
HOMOGENEOUS VINYL,Forbo,50491 Citrine,Sphera Elite,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/7aafa945-b71e-44d2-8996-2a7129f81dd9,27000mm (L) x 2000mm (W) x 2mm (T),39181090,dd64759b-d979-4eca-b20c-76986abf923a,TRUE,P1,LVT,,product,27000,mm,P-FLR-RES-LVT-627560,FLOORING RESILIENT FLOORING LVT Homogeneous Vinyl Forbo HOMOGENEOUS VINYL 50491 Citrine Sphera Elite 27000mm (L) x 2000mm (W) x 2mm (T),,"Composition: Made from a single, uniform layer of vinyl throughout its entire thickness. Color and pattern run all the way through the material.
 
 Thickness : 2mm 
 
 Weight: 2700g/m2
 
 Resistance to Chemicals: Very Good
 
 Delivery Timeline: 3-4 weeks
 
 Exclusive of Installation cost",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,2,Homogeneous Vinyl,SQFT,2000,https://s3-dms-prod.flipspaces.app/fb29bf8c-a3c8-4ee9-89d5-7a7afa285ffe,,,,,,,,,260
HOMOGENEOUS VINYL,Forbo,50487 Axinite,Sphera Elite,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/da62af18-0d65-4fb4-a7a5-494787f767f5,27000mm (L) x 2000mm (W) x 2mm (T),39181090,172919f9-3cf2-4fa5-bffb-528ddf9fde58,TRUE,P1,LVT,,product,27000,mm,P-FLR-RES-LVT-635387,FLOORING RESILIENT FLOORING LVT Homogeneous Vinyl Forbo HOMOGENEOUS VINYL 50487 Axinite Sphera Elite 27000mm (L) x 2000mm (W) x 2mm (T),,"Composition: Made from a single, uniform layer of vinyl throughout its entire thickness. Color and pattern run all the way through the material.
 
 Thickness : 2mm 
 
 Weight: 2700g/m2
 
 Resistance to Chemicals: Very Good
 
 Delivery Timeline: 3-4 weeks
 
 Exclusive of Installation cost",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,2,Homogeneous Vinyl,SQFT,2000,,,,,,,,,,260
HOMOGENEOUS VINYL,Forbo,50483 Hematite,Sphera Elite,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/8e793308-8f70-455e-86eb-780adeadfafa,27000mm (L) x 2000mm (W) x 2mm (T),39181090,62879295-76be-47cb-9542-7851cdaf08dc,TRUE,P1,LVT,,product,27000,mm,P-FLR-RES-LVT-539119,FLOORING RESILIENT FLOORING LVT Homogeneous Vinyl Forbo HOMOGENEOUS VINYL 50483 Hematite Sphera Elite 27000mm (L) x 2000mm (W) x 2mm (T),,"Composition: Made from a single, uniform layer of vinyl throughout its entire thickness. Color and pattern run all the way through the material.
 
 Thickness : 2mm 
 
 Weight: 2700g/m2
 
 Resistance to Chemicals: Very Good
 
 Delivery Timeline: 3-4 weeks
 
 Exclusive of Installation cost",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,2,Homogeneous Vinyl,SQFT,2000,https://s3-dms-prod.flipspaces.app/4bf14d81-ad63-4077-9f95-1b479f08610c,,,,,,,,,260
HOMOGENEOUS VINYL,Forbo,50495 Purple Fluoride,Sphera Elite,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/a4907eee-48a2-448a-aef1-a55967d88d91,27000mm (L) x 2000mm (W) x 2mm (T),39181090,23550c1e-0160-4d48-ae9a-90baeac7b929,TRUE,P1,LVT,,product,27000,mm,P-FLR-RES-LVT-108890,FLOORING RESILIENT FLOORING LVT Homogeneous Vinyl Forbo HOMOGENEOUS VINYL 50495 Purple Fluoride Sphera Elite 27000mm (L) x 2000mm (W) x 2mm (T),,"Composition: Made from a single, uniform layer of vinyl throughout its entire thickness. Color and pattern run all the way through the material.
 
 Thickness : 2mm 
 
 Weight: 2700g/m2
 
 Resistance to Chemicals: Very Good
 
 Delivery Timeline: 3-4 weeks
 
 Exclusive of Installation cost",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,2,Homogeneous Vinyl,SQFT,2000,https://s3-dms-prod.flipspaces.app/a659a965-9fb2-47ac-b90e-093f840817db,,,,,,,,,260
HOMOGENEOUS VINYL,Forbo,50492 Jadeite,Sphera Elite,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/c2a503dc-1dad-4fb4-bf87-a278064d117e,27000mm (L) x 2000mm (W) x 2mm (T),39181090,ebde9501-7b86-4807-b30d-fa69591e4225,TRUE,P1,LVT,,product,27000,mm,P-FLR-RES-LVT-150524,FLOORING RESILIENT FLOORING LVT Homogeneous Vinyl Forbo HOMOGENEOUS VINYL 50492 Jadeite Sphera Elite 27000mm (L) x 2000mm (W) x 2mm (T),,"Composition: Made from a single, uniform layer of vinyl throughout its entire thickness. Color and pattern run all the way through the material.
 
 Thickness : 2mm 
 
 Weight: 2700g/m2
 
 Resistance to Chemicals: Very Good
 
 Delivery Timeline: 3-4 weeks
 
 Exclusive of Installation cost",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,2,Homogeneous Vinyl,SQFT,2000,,,,,,,,,,260
