boq_name,brand,catalogue_code_dynamic,catalogue_series_dynamic,category,color,countries,default_image,dimensions,hsn_code,id,is_preferred,item_class,item_name,item_style,item_type,length1,lwhd_metric,sku_id,sku_name,space_tag,specifications,status,sub_category,t_metric,template_id,template_name,theme,thickness,type,unit,width,images,default_image_mobile,us_dimensions,us_specifications,vendor_brand_dynamic,vendor_catalogue_code_dynamic,vendor_catalogue_series_dynamic,model_3d,finish_dynamic,Selling price
WOODEN FLOORING,ELESTRO,MA_SO_46,EICHE COLLECTION,FLOORING,BROWN,US,https://s3-dms-prod.flipspaces.app/85bf2764-fb63-4ca3-a116-7b6bad03e7bf,1200mm (L) x 120mm (W) x 10mm (T),44187100,3204dff2-ba0d-4f19-9fb4-d078f54dbf9e,TRUE,P1,LAMINATED WOODEN FLOORING,,product,1200,mm,P-FLR-RES-LWF-954470,FLOORING RESILIENT FLOORING LAMINATED WOODEN FLOORING PLANK ELESTRO WOODEN FLOORING MA_SO_46 EICHE COLLECTION GREENLAM SMOKED OAK MIKASA 1200mm (L) x 120mm (W) x 10mm (T),,"Product Type: Wood Veneer flooring
 
 
 Veneer Thickness:Up to 0.6mm
 
 
 Wood Species:Oak
 
 
 Oty(perpack): 08 Planks 
 
 
 Sq. Mtrs/ Packs: 15 m² 
 
 
 Weight/pack (kg): 85
 
 
 Joint: PlankLoc, Glueless
 
 
 Core Material: High Density Fiber Board
 
 
 Finish: Brushed, Matt and Satin",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,10,PLANK,SQFT,120,https://s3-dms-prod.flipspaces.app/b8e87c68-112e-4530-9acc-9a1ab8c9cfca,,1200mm (L) x 120mm (W) x 10mm (T),"Product Type: Wood Veneer flooring
 
 
 Veneer Thickness:Up to 0.6mm
 
 
 Wood Species:Oak
 
 
 Oty(perpack): 08 Planks 
 
 
 Sq. Mtrs/ Packs: 15 m² 
 
 
 Weight/pack (kg): 85
 
 
 Joint: PlankLoc, Glueless
 
 
 Core Material: High Density Fiber Board
 
 
 Finish: Brushed, Matt and Satin",GREENLAM,SMOKED OAK,MIKASA,,,
WOODEN FLOORING,ELESTRO,MA_OC_45,EICHE COLLECTION,FLOORING,BROWN,US,https://s3-dms-prod.flipspaces.app/57813e15-f656-4d3e-a863-43691e3bd460,1200mm (L) x 120mm (W) x 10mm (T),44187100,dcc45a3e-daf8-4c12-b123-2aaa9b41f414,TRUE,P1,LAMINATED WOODEN FLOORING,,product,1200,mm,P-FLR-RES-LWF-738777,FLOORING RESILIENT FLOORING LAMINATED WOODEN FLOORING PLANK ELESTRO WOODEN FLOORING MA_OC_45 EICHE COLLECTION GREENLAM OAK CAPPUCCINO MIKASA 1200mm (L) x 120mm (W) x 10mm (T),,"Product Type: Wood Veneer flooring
 
 
 Veneer Thickness:Up to 0.6mm
 
 
 Wood Species:Oak
 
 
 Oty(perpack): 08 Planks 
 
 
 Sq. Mtrs/ Packs: 15 m² 
 
 
 Weight/pack (kg): 85
 
 
 Joint: PlankLoc, Glueless
 
 
 Core Material: High Density Fiber Board
 
 
 Finish: Brushed, Matt and Satin",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,10,PLANK,SQFT,120,https://s3-dms-prod.flipspaces.app/7cae23b9-fa4e-4038-90a0-3068d075fee4,,1200mm (L) x 120mm (W) x 10mm (T),"Product Type: Wood Veneer flooring
 
 
 Veneer Thickness:Up to 0.6mm
 
 
 Wood Species:Oak
 
 
 Oty(perpack): 08 Planks 
 
 
 Sq. Mtrs/ Packs: 15 m² 
 
 
 Weight/pack (kg): 85
 
 
 Joint: PlankLoc, Glueless
 
 
 Core Material: High Density Fiber Board
 
 
 Finish: Brushed, Matt and Satin",GREENLAM,OAK CAPPUCCINO,MIKASA,,,
WOODEN FLOORING,ELESTRO,MA_OE_44,EICHE COLLECTION,FLOORING,BROWN,US,https://s3-dms-prod.flipspaces.app/69822bc8-239b-4eb7-9879-18dfed3190ab,1200mm (L) x 120mm (W) x 10mm (T),44187100,66019b48-2c9d-4e44-aecf-f6ffbdf13d15,TRUE,P1,LAMINATED WOODEN FLOORING,,product,1200,mm,P-FLR-RES-LWF-856437,FLOORING RESILIENT FLOORING LAMINATED WOODEN FLOORING PLANK ELESTRO WOODEN FLOORING MA_OE_44 EICHE COLLECTION GREENLAM OAK ESPRESSO MIKASA 1200mm (L) x 120mm (W) x 10mm (T),,"Product Type: Wood Veneer flooring
 
 
 Veneer Thickness:Up to 0.6mm
 
 
 Wood Species:Oak
 
 
 Oty(perpack): 08 Planks 
 
 
 Sq. Mtrs/ Packs: 15 m² 
 
 
 Weight/pack (kg): 85
 
 
 Joint: PlankLoc, Glueless
 
 
 Core Material: High Density Fiber Board
 
 
 Finish: Brushed, Matt and Satin",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,10,PLANK,SQFT,120,https://s3-dms-prod.flipspaces.app/8052495d-9141-4bc5-b557-95d65865f4a5,,1200mm (L) x 120mm (W) x 10mm (T),"Product Type: Wood Veneer flooring
 
 
 Veneer Thickness:Up to 0.6mm
 
 
 Wood Species:Oak
 
 
 Oty(perpack): 08 Planks 
 
 
 Sq. Mtrs/ Packs: 15 m² 
 
 
 Weight/pack (kg): 85
 
 
 Joint: PlankLoc, Glueless
 
 
 Core Material: High Density Fiber Board
 
 
 Finish: Brushed, Matt and Satin",GREENLAM,OAK ESPRESSO,MIKASA,,,
WOODEN FLOORING,ELESTRO,MA_ON_43,EICHE COLLECTION,FLOORING,BROWN,US,https://s3-dms-prod.flipspaces.app/d35f2aec-0c94-43ac-9766-3e3e1885e0d1,1200mm (L) x 120mm (W) x 10mm (T),44187100,4cc275e6-fd10-4f7d-9cc0-f6832ad13383,TRUE,P1,LAMINATED WOODEN FLOORING,,product,1200,mm,P-FLR-RES-LWF-657720,FLOORING RESILIENT FLOORING LAMINATED WOODEN FLOORING PLANK ELESTRO WOODEN FLOORING MA_ON_43 EICHE COLLECTION GREENLAM OAK NATURALE MIKASA 1200mm (L) x 120mm (W) x 10mm (T),,"Product Type: Wood Veneer flooring
 
 
 Veneer Thickness:Up to 0.6mm
 
 
 Wood Species:Oak
 
 
 Oty(perpack): 08 Planks 
 
 
 Sq. Mtrs/ Packs: 15 m² 
 
 
 Weight/pack (kg): 85
 
 
 Joint: PlankLoc, Glueless
 
 
 Core Material: High Density Fiber Board
 
 
 Finish: Brushed, Matt and Satin",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,10,PLANK,SQFT,120,https://s3-dms-prod.flipspaces.app/655e9f0e-8e93-4794-8425-74cce95a8b22,,1200mm (L) x 120mm (W) x 10mm (T),"Product Type: Wood Veneer flooring
 
 
 Veneer Thickness:Up to 0.6mm
 
 
 Wood Species:Oak
 
 
 Oty(perpack): 08 Planks 
 
 
 Sq. Mtrs/ Packs: 15 m² 
 
 
 Weight/pack (kg): 85
 
 
 Joint: PlankLoc, Glueless
 
 
 Core Material: High Density Fiber Board
 
 
 Finish: Brushed, Matt and Satin",GREENLAM,OAK NATURALE,MIKASA,,,
WOODEN FLOORING,ELESTRO,MA_ON_42,EICHE COLLECTION,FLOORING,BROWN,US,https://s3-dms-prod.flipspaces.app/6452005b-7b3a-432f-8689-26dbfac15a40,1200mm (L) x 120mm (W) x 10mm (T),44187100,9186ac80-db02-4135-9069-f63f0d38a0d5,TRUE,P1,LAMINATED WOODEN FLOORING,,product,1200,mm,P-FLR-RES-LWF-615597,FLOORING RESILIENT FLOORING LAMINATED WOODEN FLOORING PLANK ELESTRO WOODEN FLOORING MA_ON_42 EICHE COLLECTION GREENLAM OAK NATURE MIKASA 1200mm (L) x 120mm (W) x 10mm (T),,"Product Type: Wood Veneer flooring
 
 
 Veneer Thickness:Up to 0.6mm
 
 
 Wood Species:Oak
 
 
 Oty(perpack): 08 Planks 
 
 
 Sq. Mtrs/ Packs: 15 m² 
 
 
 Weight/pack (kg): 85
 
 
 Joint: PlankLoc, Glueless
 
 
 Core Material: High Density Fiber Board
 
 
 Finish: Brushed, Matt and Satin",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,10,PLANK,SQFT,120,https://s3-dms-prod.flipspaces.app/6325e2a8-f2c2-4d99-bdb1-401e40b77d5f,,1200mm (L) x 120mm (W) x 10mm (T),"Product Type: Wood Veneer flooring
 
 
 Veneer Thickness:Up to 0.6mm
 
 
 Wood Species:Oak
 
 
 Oty(perpack): 08 Planks 
 
 
 Sq. Mtrs/ Packs: 15 m² 
 
 
 Weight/pack (kg): 85
 
 
 Joint: PlankLoc, Glueless
 
 
 Core Material: High Density Fiber Board
 
 
 Finish: Brushed, Matt and Satin",GREENLAM,OAK NATURE,MIKASA,,,
WOODEN FLOORING,ELESTRO,MA_SN_41,EXOTIC COLLECTION,FLOORING,BROWN,US,https://s3-dms-prod.flipspaces.app/e88b66c0-d088-480c-ab68-bc8506e433f4,1200mm (L) x 120mm (W) x 10mm (T),44187100,ae279c9b-6295-4ba2-ac58-54852ed62837,TRUE,P1,LAMINATED WOODEN FLOORING,,product,1200,mm,P-FLR-RES-LWF-404452,FLOORING RESILIENT FLOORING LAMINATED WOODEN FLOORING PLANK ELESTRO WOODEN FLOORING MA_SN_41 EXOTIC COLLECTION GREENLAM SAPELE NATURALE MIKASA 1200mm (L) x 120mm (W) x 10mm (T),,"Product Type: Wood Veneer flooring
 
 
 Veneer Thickness:Up to 0.6mm
 
 
 Wood Species:Oak
 
 
 Oty(perpack): 08 Planks 
 
 
 Sq. Mtrs/ Packs: 15 m² 
 
 
 Weight/pack (kg): 85
 
 
 Joint: PlankLoc, Glueless
 
 
 Core Material: High Density Fiber Board
 
 
 Finish: Brushed, Matt and Satin",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,10,PLANK,SQFT,120,https://s3-dms-prod.flipspaces.app/94167fc6-556a-4033-ac2e-64d5f23eb01e,,1200mm (L) x 120mm (W) x 10mm (T),"Product Type: Wood Veneer flooring
 
 
 Veneer Thickness:Up to 0.6mm
 
 
 Wood Species:Oak
 
 
 Oty(perpack): 08 Planks 
 
 
 Sq. Mtrs/ Packs: 15 m² 
 
 
 Weight/pack (kg): 85
 
 
 Joint: PlankLoc, Glueless
 
 
 Core Material: High Density Fiber Board
 
 
 Finish: Brushed, Matt and Satin",GREENLAM,SAPELE NATURALE,MIKASA,,,
WOODEN FLOORING,ELESTRO,MA_SS_40,EXOTIC COLLECTION,FLOORING,BROWN,US,https://s3-dms-prod.flipspaces.app/3f907d26-5297-4a08-83da-a8e67f0b400d,1200mm (L) x 120mm (W) x 10mm (T),44187100,cd7df194-2024-462b-a8bd-ecf4498141a6,TRUE,P1,LAMINATED WOODEN FLOORING,,product,1200,mm,P-FLR-RES-LWF-115501,FLOORING RESILIENT FLOORING LAMINATED WOODEN FLOORING PLANK ELESTRO WOODEN FLOORING MA_SS_40 EXOTIC COLLECTION GREENLAM SMOKED SAPELE MIKASA 1200mm (L) x 120mm (W) x 10mm (T),,"Product Type: Wood Veneer flooring
 
 
 Veneer Thickness:Up to 0.6mm
 
 
 Wood Species:Oak
 
 
 Oty(perpack): 08 Planks 
 
 
 Sq. Mtrs/ Packs: 15 m² 
 
 
 Weight/pack (kg): 85
 
 
 Joint: PlankLoc, Glueless
 
 
 Core Material: High Density Fiber Board
 
 
 Finish: Brushed, Matt and Satin",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,10,PLANK,SQFT,120,https://s3-dms-prod.flipspaces.app/21369dfa-d476-46eb-b6f8-50bcfeb349bc,,1200mm (L) x 120mm (W) x 10mm (T),"Product Type: Wood Veneer flooring
 
 
 Veneer Thickness:Up to 0.6mm
 
 
 Wood Species:Oak
 
 
 Oty(perpack): 08 Planks 
 
 
 Sq. Mtrs/ Packs: 15 m² 
 
 
 Weight/pack (kg): 85
 
 
 Joint: PlankLoc, Glueless
 
 
 Core Material: High Density Fiber Board
 
 
 Finish: Brushed, Matt and Satin",GREENLAM,SMOKED SAPELE,MIKASA,,,
WOODEN FLOORING,ELESTRO,MA_NR_39,EXOTIC COLLECTION,FLOORING,BROWN,US,https://s3-dms-prod.flipspaces.app/36d0d05a-5cf6-4435-a575-0a2de42bfe97,1200mm (L) x 120mm (W) x 10mm (T),44187100,67a1a2ae-78aa-42c3-b3c5-89d0467d93bd,TRUE,P1,LAMINATED WOODEN FLOORING,,product,1200,mm,P-FLR-RES-LWF-162385,FLOORING RESILIENT FLOORING LAMINATED WOODEN FLOORING PLANK ELESTRO WOODEN FLOORING MA_NR_39 EXOTIC COLLECTION GREENLAM NUSSBAUM ROJA MIKASA 1200mm (L) x 120mm (W) x 10mm (T),,"Product Type: Wood Veneer flooring
 
 
 Veneer Thickness:Up to 0.6mm
 
 
 Wood Species:Oak
 
 
 Oty(perpack): 08 Planks 
 
 
 Sq. Mtrs/ Packs: 15 m² 
 
 
 Weight/pack (kg): 85
 
 
 Joint: PlankLoc, Glueless
 
 
 Core Material: High Density Fiber Board
 
 
 Finish: Brushed, Matt and Satin",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,10,PLANK,SQFT,120,https://s3-dms-prod.flipspaces.app/556992a1-b9e0-4020-aa3b-9bae7a2d4603,,1200mm (L) x 120mm (W) x 10mm (T),"Product Type: Wood Veneer flooring
 
 
 Veneer Thickness:Up to 0.6mm
 
 
 Wood Species:Oak
 
 
 Oty(perpack): 08 Planks 
 
 
 Sq. Mtrs/ Packs: 15 m² 
 
 
 Weight/pack (kg): 85
 
 
 Joint: PlankLoc, Glueless
 
 
 Core Material: High Density Fiber Board
 
 
 Finish: Brushed, Matt and Satin",GREENLAM,NUSSBAUM ROJA,MIKASA,,,
WOODEN FLOORING,ELESTRO,MA_NM_38,EXOTIC COLLECTION,FLOORING,BROWN,US,https://s3-dms-prod.flipspaces.app/dd2a6d06-f324-4188-a41a-cc6eb1b5f51c,1200mm (L) x 120mm (W) x 10mm (T),44187100,93343568-a87b-4bec-a70c-cf687390e2b3,TRUE,P1,LAMINATED WOODEN FLOORING,,product,1200,mm,P-FLR-RES-LWF-487178,FLOORING RESILIENT FLOORING LAMINATED WOODEN FLOORING PLANK ELESTRO WOODEN FLOORING MA_NM_38 EXOTIC COLLECTION GREENLAM NUSSBAUM MIKASA 1200mm (L) x 120mm (W) x 10mm (T),,"Product Type: Wood Veneer flooring
 
 
 Veneer Thickness:Up to 0.6mm
 
 
 Wood Species:Oak
 
 
 Oty(perpack): 08 Planks 
 
 
 Sq. Mtrs/ Packs: 15 m² 
 
 
 Weight/pack (kg): 85
 
 
 Joint: PlankLoc, Glueless
 
 
 Core Material: High Density Fiber Board
 
 
 Finish: Brushed, Matt and Satin",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,10,PLANK,SQFT,120,https://s3-dms-prod.flipspaces.app/7bfe90b8-9df7-46af-8c92-5142d7b1f3d0,,1200mm (L) x 120mm (W) x 10mm (T),"Product Type: Wood Veneer flooring
 
 
 Veneer Thickness:Up to 0.6mm
 
 
 Wood Species:Oak
 
 
 Oty(perpack): 08 Planks 
 
 
 Sq. Mtrs/ Packs: 15 m² 
 
 
 Weight/pack (kg): 85
 
 
 Joint: PlankLoc, Glueless
 
 
 Core Material: High Density Fiber Board
 
 
 Finish: Brushed, Matt and Satin",GREENLAM,NUSSBAUM,MIKASA,,,
WOODEN FLOORING,ELESTRO,MA_BT_37,EXOTIC COLLECTION,FLOORING,BROWN,US,https://s3-dms-prod.flipspaces.app/8d6678bd-583b-4e24-a920-6ba2a5eaf02c,1200mm (L) x 120mm (W) x 10mm (T),44187100,e31cb83d-ebf5-47b1-a1af-ee1671e74608,TRUE,P1,LAMINATED WOODEN FLOORING,,product,1200,mm,P-FLR-RES-LWF-235516,FLOORING RESILIENT FLOORING LAMINATED WOODEN FLOORING PLANK ELESTRO WOODEN FLOORING MA_BT_37 EXOTIC COLLECTION GREENLAM BURMESE TEAK MIKASA 1200mm (L) x 120mm (W) x 10mm (T),,"Product Type: Wood Veneer flooring
 
 
 Veneer Thickness:Up to 0.6mm
 
 
 Wood Species:Oak
 
 
 Oty(perpack): 08 Planks 
 
 
 Sq. Mtrs/ Packs: 15 m² 
 
 
 Weight/pack (kg): 85
 
 
 Joint: PlankLoc, Glueless
 
 
 Core Material: High Density Fiber Board
 
 
 Finish: Brushed, Matt and Satin",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,10,PLANK,SQFT,120,https://s3-dms-prod.flipspaces.app/af3644e4-e42c-4a99-9d62-32ef499c9546,,1200mm (L) x 120mm (W) x 10mm (T),"Product Type: Wood Veneer flooring
 
 
 Veneer Thickness:Up to 0.6mm
 
 
 Wood Species:Oak
 
 
 Oty(perpack): 08 Planks 
 
 
 Sq. Mtrs/ Packs: 15 m² 
 
 
 Weight/pack (kg): 85
 
 
 Joint: PlankLoc, Glueless
 
 
 Core Material: High Density Fiber Board
 
 
 Finish: Brushed, Matt and Satin",GREENLAM,BURMESE TEAK,MIKASA,,,
WOODEN FLOORING,ELESTRO,MA_NW_36,VERMON COLLECTION,FLOORING,BROWN,US,https://s3-dms-prod.flipspaces.app/de3966a2-3328-4764-a5e1-66fed48653b9,540mm (L) x 90mm (W) x 15mm (T),44187100,71599636-5508-4f5c-b4ab-2ab1ab4d063f,TRUE,P1,LAMINATED WOODEN FLOORING,,product,540,mm,P-FLR-RES-LWF-269912,FLOORING RESILIENT FLOORING LAMINATED WOODEN FLOORING PLANK ELESTRO WOODEN FLOORING MA_NW_36 VERMON COLLECTION GREENLAM NOCA WEATHERED MIKASA 540mm (L) x 90mm (W) x 15mm (T),,"Product Type: 3 Layer Parquet/Engineered Hardwood Flooring
 
 
 Veneer Thickness: Up to 3.0mm
 
 
 Wood Species: Oak and Walnut
 
 
 Qty (perpack): 06 Planks 
 
 
 Sq. Mtrs/ Packs: 46 m²-83 m² 
 
 
 Weight/Pock (kg): 180 240
 
 
 Joint: PlankLoc, Glueless
 
 
 Core Material: Pine
 
 
 Finish: Brushed, Matt and Satin",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,15,PLANK,SQFT,90,https://s3-dms-prod.flipspaces.app/25afc957-9907-48ae-aca6-4d8dc000eef4,,540mm (L) x 90mm (W) x 15mm (T),"Product Type: 3 Layer Parquet/Engineered Hardwood Flooring
 
 
 Veneer Thickness: Up to 3.0mm
 
 
 Wood Species: Oak and Walnut
 
 
 Qty (perpack): 06 Planks 
 
 
 Sq. Mtrs/ Packs: 46 m²-83 m² 
 
 
 Weight/Pock (kg): 180 240
 
 
 Joint: PlankLoc, Glueless
 
 
 Core Material: Pine
 
 
 Finish: Brushed, Matt and Satin",GREENLAM,NOCA WEATHERED,MIKASA,,,
