boq_name,brand,category,color,color_dynamic,config,countries,default_image,dimensions,height,hsn_code,id,images,is_preferred,item_class,item_name,item_style,item_type,length1,lwhd_metric,model_3d,sku_id,sku_name,space_tag,specifications,status,sub_category,t_metric,template_id,template_name,theme,unit,width,thickness,type,Selling Price
U SHAPED BAFFLES METAL CEILING - WOOD FINISH,Armstrong,CEILING,,ARMSTRONG WOODEN BAFFLE SHADES,U SHAPE,IN,https://s3-dms-prod.flipspaces.app/a3ac4cfb-0f15-4473-80b3-2edb69f2ace8,3600mm (L) x 50mm (W) x 150mm (H),150,73089090,5b98027c-0ea7-41b1-86e6-4e51671109bf,"https://s3-dms-prod.flipspaces.app/38f94234-58b7-4068-8438-25835e597e82,https://s3-dms-prod.flipspaces.app/9483bd67-deae-4987-9ff2-79570a59f16c,https://s3-dms-prod.flipspaces.app/b10bbb96-6508-4e67-8a9c-e4da2ccc3a4d",TRUE,P1,BAFFLE CEILING,,product,3600,mm,54910eef-64d5-498b-9310-1e95de780a5d,P-CEI-MET-BAF-758893,CEILING METAL CEILING BAFFLE CEILING U SHAPE Armstrong U SHAPED BAFFLES METAL CEILING - WOOD FINISH 3600mm (L) x 50mm (W) x 150mm (H),,"U Shaped baffles are placed linearly at specific distance to form various patterns. U-shaped Baffles are a perfect fit for spacious rooms. It enhances the elegance & usability of any space. The baffles also enhance the acoustics of the space.
 
 
 
 
 --Material
 
 
 ++Baffles are produced from extruded aluminium
 
 
 ++End caps are produced from plastic or metal
 
 
 ++Suspension System: Galvanised mild steel
 
 
 --Weight
 
 
 ++Weight (including U-Profile Channel at 1200mm centres)
 
 
 ++100mm Baffles @100mm centres: 10.20 kgs/m2
 
 100mm clear spacing
 
 MOQ: 200 SQMT",active,METAL CEILING,mm,e876ee0d-2816-4ad4-a031-598ab47e5420,P_CEILING_METAL CEILING,,SQMT,50,,,12400
U SHAPED BAFFLES METAL CEILING - WOOD FINISH,Armstrong,CEILING,,ARMSTRONG WOODEN BAFFLE SHADES,U SHAPE,IN,https://s3-dms-prod.flipspaces.app/a3ac4cfb-0f15-4473-80b3-2edb69f2ace8,3600mm (L) x 25mm (W) x 150mm (H),150,73089090,58d24d39-c74a-4ad0-9322-de67b1b74837,"https://s3-dms-prod.flipspaces.app/f7ea375c-f20e-4411-a959-f24b998476ac,https://s3-dms-prod.flipspaces.app/b6fa0d21-e367-47b1-bb26-48fd8e2c4053,https://s3-dms-prod.flipspaces.app/1d7ef5a1-82b4-4995-bd9f-bba0c99e1ae5",TRUE,P1,BAFFLE CEILING,,product,3600,mm,194c2c94-7c64-4e9c-ab77-ce7a22134419,P-CEI-MET-BAF-909359,CEILING METAL CEILING BAFFLE CEILING U SHAPE Armstrong U SHAPED BAFFLES METAL CEILING - WOOD FINISH 3600mm (L) x 25mm (W) x 150mm (H),,"U Shaped baffles are placed linearly at specific distance to form various patterns. U-shaped Baffles are a perfect fit for spacious rooms. It enhances the elegance & usability of any space. The baffles also enhance the acoustics of the space.
 
 
 
 
 --Material
 
 
 ++Baffles are produced from extruded aluminium
 
 
 ++End caps are produced from plastic or metal
 
 
 ++Suspension System: Galvanised mild steel
 
 
 --Weight
 
 
 ++Weight (including U-Profile Channel at 1200mm centres)
 
 
 ++100mm Baffles @100mm centres: 10.20 kgs/m2
 
 100mm clear spacing
 
 MOQ: 200 SQMT",active,METAL CEILING,mm,e876ee0d-2816-4ad4-a031-598ab47e5420,P_CEILING_METAL CEILING,,SQMT,25,,,11560
U SHAPED BAFFLES METAL CEILING - WOOD FINISH,Armstrong,CEILING,,ARMSTRONG WOODEN BAFFLE SHADES,U SHAPE,IN,https://s3-dms-prod.flipspaces.app/a3ac4cfb-0f15-4473-80b3-2edb69f2ace8,3600mm (L) x 50mm (W) x 100mm (H),100,73089090,45b57bf2-8432-4235-80fa-ef3d7d270fce,"https://s3-dms-prod.flipspaces.app/e4559df8-729f-431d-88dc-8e53ef123f91,https://s3-dms-prod.flipspaces.app/7212bcb8-f63d-47b7-ad7b-33788eea3069,https://s3-dms-prod.flipspaces.app/7e97c447-bfb9-427b-bf29-76876a4e7230",TRUE,P1,BAFFLE CEILING,,product,3600,mm,184f0f9e-977b-4268-88dd-8dc8facba7b2,P-CEI-MET-BAF-630076,CEILING METAL CEILING BAFFLE CEILING U SHAPE Armstrong U SHAPED BAFFLES METAL CEILING - WOOD FINISH 3600mm (L) x 50mm (W) x 100mm (H),,"U Shaped baffles are placed linearly at specific distance to form various patterns. U-shaped Baffles are a perfect fit for spacious rooms. It enhances the elegance & usability of any space. The baffles also enhance the acoustics of the space.
 
 
 
 
 --Material
 
 
 ++Baffles are produced from extruded aluminium
 
 
 ++End caps are produced from plastic or metal
 
 
 ++Suspension System: Galvanised mild steel
 
 
 --Weight
 
 
 ++Weight (including U-Profile Channel at 1200mm centres)
 
 
 ++100mm Baffles @100mm centres: 10.20 kgs/m2
 
 100mm clear spacing
 
 MOQ: 200 SQMT",active,METAL CEILING,mm,e876ee0d-2816-4ad4-a031-598ab47e5420,P_CEILING_METAL CEILING,,SQMT,50,,,10690
U SHAPED BAFFLES METAL CEILING - WOOD FINISH,Armstrong,CEILING,,ARMSTRONG WOODEN BAFFLE SHADES,U SHAPE,IN,https://s3-dms-prod.flipspaces.app/a3ac4cfb-0f15-4473-80b3-2edb69f2ace8,3600mm (L) x 25mm (W) x 100mm (H),100,73089090,c08fd2aa-1ba7-466b-9a22-64d14d727f5a,"https://s3-dms-prod.flipspaces.app/c007390b-5dfd-4d0e-9754-49a69a19fc54,https://s3-dms-prod.flipspaces.app/880011b9-ca6c-4550-8800-36389151378d,https://s3-dms-prod.flipspaces.app/91a519b0-fdb4-4f3e-aa64-3dea36fbad58",TRUE,P1,BAFFLE CEILING,,product,3600,mm,005c14ac-491b-4c56-a7c2-2130f05f407f,P-CEI-MET-BAF-567630,CEILING METAL CEILING BAFFLE CEILING U SHAPE Armstrong U SHAPED BAFFLES METAL CEILING - WOOD FINISH 3600mm (L) x 25mm (W) x 100mm (H),,"U Shaped baffles are placed linearly at specific distance to form various patterns. U-shaped Baffles are a perfect fit for spacious rooms. It enhances the elegance & usability of any space. The baffles also enhance the acoustics of the space.
 
 
 
 
 --Material
 
 
 ++Baffles are produced from extruded aluminium
 
 
 ++End caps are produced from plastic or metal
 
 
 ++Suspension System: Galvanised mild steel
 
 
 --Weight
 
 
 ++Weight (including U-Profile Channel at 1200mm centres)
 
 
 ++100mm Baffles @100mm centres: 10.20 kgs/m2
 
 100mm clear spacing
 
 MOQ: 200 SQMT",active,METAL CEILING,mm,e876ee0d-2816-4ad4-a031-598ab47e5420,P_CEILING_METAL CEILING,,SQMT,25,,,9600
AXIOM TRANSITIONS,Armstrong,CEILING,,,,IN,https://s3-dms-prod.flipspaces.app/e57e80ac-2ea3-403c-b59b-29ec7035c690,3000mm (L) x 38mm (W) x 50mm (H),50,76109030,aef8e11d-e4d5-412b-a9ab-ef8df6e9b825,,TRUE,P1,AXIOM TRIM,,product,3000,mm,,P-CEI-MET-AXI-771330,CEILING METAL CEILING AXIOM TRIM Armstrong AXIOM TRANSITIONS 3000mm (L) x 38mm (W) x 50mm (H),,"Axiom Transition Type: 50mm Straight, Curved
 
 Trim Channel: Extruded aluminum, alloy 6063 
 
 Hanging Clip: Galvanized Steel 
 
 T-Bar Connector clip: Galvanized Steel 
 
 Splice Plate: Galvanized steel
 
 --Price: Available on request",active,METAL CEILING,mm,e876ee0d-2816-4ad4-a031-598ab47e5420,P_CEILING_METAL CEILING,,SQFT,38,,,
AXIOM PERIMETER TRIM - CLASSIC,Armstrong,CEILING,,,,IN,https://s3-dms-prod.flipspaces.app/dd38f9b4-936c-43e8-b483-b5eff10ede56,19mm (W) x 100mm (H),100,76109030,4537f6c7-582f-41b6-b352-30767743990f,,TRUE,P1,AXIOM TRIM,,product,,mm,,P-CEI-MET-AXI-236025,CEILING METAL CEILING AXIOM TRIM Armstrong AXIOM PERIMETER TRIM - CLASSIC 19mm (W) x 100mm (H),,"Trim Channel: Extruded aluminium, alloy 6063
 
 
 Hanging Clip: Galvanised steel
 
 
 T-Bar Connection Clip: Galvanised steel
 
 
 Splice Plate: Galvanised steel
 
 
 Surface Finish: Durable powdercoat
 
 
 Cross Tee/Main Beam Interface: Flush fit",active,METAL CEILING,mm,e876ee0d-2816-4ad4-a031-598ab47e5420,P_CEILING_METAL CEILING,,MTR,19,,,1285
AXIOM PERIMETER TRIM - CLASSIC,Armstrong,CEILING,,,,IN,https://s3-dms-prod.flipspaces.app/dd38f9b4-936c-43e8-b483-b5eff10ede56,19mm (W) x 50mm (H),50,76109030,bfd57933-4073-4ddb-b4c9-33bc5eac8a42,,TRUE,P1,AXIOM TRIM,,product,,mm,,P-CEI-MET-AXI-146914,CEILING METAL CEILING AXIOM TRIM Armstrong AXIOM PERIMETER TRIM - CLASSIC 19mm (W) x 50mm (H),,"Trim Channel: Extruded aluminium, alloy 6063
 
 
 Hanging Clip: Galvanised steel
 
 
 T-Bar Connection Clip: Galvanised steel
 
 
 Splice Plate: Galvanised steel
 
 
 Surface Finish: Durable powdercoat
 
 
 Cross Tee/Main Beam Interface: Flush fit",active,METAL CEILING,mm,e876ee0d-2816-4ad4-a031-598ab47e5420,P_CEILING_METAL CEILING,,MTR,19,,,940
OPEN METAL CELL CEILING 75 x 75,Armstrong,CEILING,,ARMSTRONG OPEN CELL SHADES,75 x 75,IN,https://s3-dms-prod.flipspaces.app/42c17f2b-344b-4a9a-a2b7-676ed293eec7,600mm (L) x 600mm (W) x 38mm (H),38,73089090,3fb57033-9b39-4984-8fa9-e0f15ec85c1a,"https://s3-dms-prod.flipspaces.app/551a4a3b-1d25-4df3-8a7c-887f43e50138,https://s3-dms-prod.flipspaces.app/0000d102-2532-4dd2-baa7-743d2b1917ad",TRUE,P1,OPEN CELL CEILING,,product,600,mm,e416ae3b-4405-4521-87b8-50c9f8d7d384,P-CEI-MET-OPE-113138,CEILING METAL CEILING OPEN CELL CEILING 75 x 75 Armstrong OPEN METAL CELL CEILING 75 x 75 600mm (L) x 600mm (W) x 38mm (H),,"Transform any space with the visually appealing Open Cell design, crafting a stylish roof that adds charm to your surroundings. The intricate design not only creates a visually pleasing aesthetic but also allows for captivating lighting effects, enhancing the overall ambiance. The lightweight nature of the ceiling serves a dual purpose, not only providing an elegant appearance but also effectively concealing the plenum, resulting in a seamless and polished ceiling plane
 
 
 
 
 
 BASE MATERIAL : Galvanized Steel/Aluminum 
 
 
 
 
 
 SUITABLE AREA: Ceilings for Superior Aesthetics, Easy Maintenance & Faster Installation. Best Suited for Offices, lounges, corridors etc.",active,METAL CEILING,mm,e876ee0d-2816-4ad4-a031-598ab47e5420,P_CEILING_METAL CEILING,,SQFT,600,,,470
OPEN METAL CELL CEILING 100 x 100,Armstrong,CEILING,,ARMSTRONG OPEN CELL SHADES,100 x 100,IN,https://s3-dms-prod.flipspaces.app/660f2c9f-e9ba-41b6-a095-05e3c29a6448,600mm (L) x 600mm (W) x 38mm (H),38,73089090,766f5681-04b8-48e6-be95-2b6770dddc96,"https://s3-dms-prod.flipspaces.app/80425d3f-d3d9-4dec-b679-24a27365c1ea,https://s3-dms-prod.flipspaces.app/9cc131b3-d657-405c-9227-e7ca001d486a",TRUE,P1,OPEN CELL CEILING,,product,600,mm,02c29e6f-523d-44a2-abb7-4f078514b2ba,P-CEI-MET-OPE-995528,CEILING METAL CEILING OPEN CELL CEILING 100 x 100 Armstrong OPEN METAL CELL CEILING 100 x 100 600mm (L) x 600mm (W) x 38mm (H),,"Transform any space with the visually appealing Open Cell design, crafting a stylish roof that adds charm to your surroundings. The intricate design not only creates a visually pleasing aesthetic but also allows for captivating lighting effects, enhancing the overall ambiance. The lightweight nature of the ceiling serves a dual purpose, not only providing an elegant appearance but also effectively concealing the plenum, resulting in a seamless and polished ceiling plane
 
 
 
 
 
 BASE MATERIAL : Galvanized Steel/Aluminum 
 
 
 
 
 
 SUITABLE AREA: Ceilings for Superior Aesthetics, Easy Maintenance & Faster Installation. Best Suited for Offices, lounges, corridors etc.",active,METAL CEILING,mm,e876ee0d-2816-4ad4-a031-598ab47e5420,P_CEILING_METAL CEILING,,SQFT,600,,,370
OPEN METAL CELL CEILING 150 x 150,Armstrong,CEILING,,ARMSTRONG OPEN CELL SHADES,150 x 150,IN,https://s3-dms-prod.flipspaces.app/beca05fa-5597-4f3f-aefe-2f582e362f85,600mm (L) x 600mm (W) x 38mm (H),38,73089090,6bf6645d-bbd7-40ea-a854-3a9e95ecc1c3,"https://s3-dms-prod.flipspaces.app/9e6d883b-c978-4d13-ad59-692287d19a9a,https://s3-dms-prod.flipspaces.app/0f8aebb4-9cc3-4e86-9f4d-293033c52c56",TRUE,P1,OPEN CELL CEILING,,product,600,mm,95643b38-57b3-411f-8425-5471166516bc,P-CEI-MET-OPE-921695,CEILING METAL CEILING OPEN CELL CEILING 150 x 150 Armstrong OPEN METAL CELL CEILING 150 x 150 600mm (L) x 600mm (W) x 38mm (H),,"Transform any space with the visually appealing Open Cell design, crafting a stylish roof that adds charm to your surroundings. The intricate design not only creates a visually pleasing aesthetic but also allows for captivating lighting effects, enhancing the overall ambiance. The lightweight nature of the ceiling serves a dual purpose, not only providing an elegant appearance but also effectively concealing the plenum, resulting in a seamless and polished ceiling plane
 
 
 
 
 
 BASE MATERIAL : Galvanized Steel/Aluminum 
 
 
 
 
 
 SUITABLE AREA: Ceilings for Superior Aesthetics, Easy Maintenance & Faster Installation. Best Suited for Offices, lounges, corridors etc.",active,METAL CEILING,mm,e876ee0d-2816-4ad4-a031-598ab47e5420,P_CEILING_METAL CEILING,,SQFT,600,,,270
