boq_name,brand,catalogue_code_dynamic,catalogue_series_dynamic,category,color,countries,default_image,dimensions,hsn_code,id,images,is_preferred,item_class,item_name,item_style,item_type,length1,lwhd_metric,sku_id,sku_name,space_tag,specifications,status,sub_category,t_metric,template_id,template_name,theme,thickness,type,unit,vendor_brand_dynamic,width,model_3d,material_dynamic,us_dimensions,us_specifications,Selling Price
HAND TUFTED RUG,The Weaver,Stratus Drift,,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/5a367942-66d0-437e-b621-95d4445c5ebb,1800mm (L) x 1800mm (W),57023110,66436960-835a-4654-89cb-ef19bb150148,https://s3-dms-prod.flipspaces.app/1f9862f2-2f15-4c20-85e5-ffa7fb0244de,TRUE,P1,RUGS,Square,product,1800,mm,P-FLR-TEX-RUG-253555,FLOORING TEXTILE FLOORING RUGS The Weaver HAND TUFTED RUG Stratus Drift 1800mm (L) x 1800mm (W),,"Hand Tufted
 
 Wool + Tencel
 
 Custom size available in ratio 1:1",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,,,SQFT,,1800,,,,,750
HAND TUFTED RUG,The Weaver,Slate Splatter,,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/63a22193-9a5e-4ada-9425-f78a648b36c7,1800mm (L) x 1800mm (W),57023110,12e6b176-f780-4a1e-94c1-042262c91f6a,https://s3-dms-prod.flipspaces.app/1084f761-18ec-4c24-8e09-d795ee8459b7,TRUE,P1,RUGS,Square,product,1800,mm,P-FLR-TEX-RUG-906812,FLOORING TEXTILE FLOORING RUGS The Weaver HAND TUFTED RUG Slate Splatter 1800mm (L) x 1800mm (W),,"Hand Tufted
 
 100% Wool
 
 Custom size available in ratio 1:1",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,,,SQFT,,1800,,,,,750
HAND TUFTED RUG,The Weaver,Marbled Mirage,,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/e4661790-d1af-4e26-b709-ea4ee44f44e2,1800mm (L) x 1800mm (W),57023110,4a1ba86b-618f-46f4-bb54-0feadcb3be8b,https://s3-dms-prod.flipspaces.app/fe511d6d-8e5c-414b-8d55-eade121cfcc0,TRUE,P1,RUGS,Square,product,1800,mm,P-FLR-TEX-RUG-145105,FLOORING TEXTILE FLOORING RUGS The Weaver HAND TUFTED RUG Marbled Mirage 1800mm (L) x 1800mm (W),,"Hand Tufted
 
 100% Wool
 
 Custom size available in ratio 1:1",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,,,SQFT,,1800,,,,,750
HAND TUFTED RUG,The Weaver,Symmetric Horizon,,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/21327d43-251a-4c5e-8ae5-3ced3d3340c6,1800mm (L) x 1800mm (W),57023110,de89f99b-7b8b-49cf-bff3-60cd3e3578e8,https://s3-dms-prod.flipspaces.app/bcdc72c8-4d5a-4186-9f26-ff0565a9cce4,TRUE,P1,RUGS,Square,product,1800,mm,P-FLR-TEX-RUG-977601,FLOORING TEXTILE FLOORING RUGS The Weaver HAND TUFTED RUG Symmetric Horizon 1800mm (L) x 1800mm (W),,"Hand Tufted
 
 100% Wool
 
 Custom size available in ratio 1:1",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,,,SQFT,,1800,,,,,750
HAND TUFTED RUG,The Weaver,Terracotta,,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/80892c98-779a-463b-ae97-08f696c80868,2100mm (L) x 1050mm (W),57023110,44e02d24-2629-40f8-afdc-ee75a2c4981a,https://s3-dms-prod.flipspaces.app/1328cf4a-443b-480d-acac-9af1c329901e,TRUE,P1,RUGS,Oval,product,2100,mm,P-FLR-TEX-RUG-164885,FLOORING TEXTILE FLOORING RUGS The Weaver HAND TUFTED RUG Terracotta 2100mm (L) x 1050mm (W),,"Hand Tufted
 
 100% Wool
 
 Custom size available in ratio 2:1",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,,,SQFT,,1050,,,,,750
HAND TUFTED RUG,The Weaver,Misty Flow,,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/a5e863b4-5284-4940-a5d8-e312952f6fe0,1800mm (L) x 1800mm (W),57023110,9aa88de4-0191-4640-a645-79828e6f62ba,https://s3-dms-prod.flipspaces.app/3e4b8ee5-43e5-437c-bd8e-2394eebecad7,TRUE,P1,RUGS,Round,product,1800,mm,P-FLR-TEX-RUG-119099,FLOORING TEXTILE FLOORING RUGS The Weaver HAND TUFTED RUG Misty Flow 1800mm (L) x 1800mm (W),,"Hand Tufted
 
 100% Wool
 
 Custom size available in ratio 1:1",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,,,SQFT,,1800,,,,,750
HAND TUFTED RUG,The Weaver,Geometric Fusion,,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/0cafecae-a167-4f61-b564-a55c909012b5,1800mm (L) x 1200mm (W),57023110,4b4eabe9-290d-4f91-939b-715eaffd2602,https://s3-dms-prod.flipspaces.app/54062dcc-87e2-4741-933b-6d78465f139a,TRUE,P1,RUGS,Rectangle,product,1800,mm,P-FLR-TEX-RUG-988602,FLOORING TEXTILE FLOORING RUGS The Weaver HAND TUFTED RUG Geometric Fusion 1800mm (L) x 1200mm (W),,"Hand Tufted
 
 100% Wool
 
 Custom size available in ratio 1.5:1",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,,,SQFT,,1200,,,,,750
HAND TUFTED RUG,The Weaver,Striped Lines,,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/dc2053dd-c969-419c-a134-cf8324e8962f,2100mm (L) x 1225mm (W),57023110,72f50a79-c4b6-4e66-9dee-de3b6f78cedf,https://s3-dms-prod.flipspaces.app/1893efbb-71e0-4d02-ba32-70e9da23dd62,TRUE,P1,RUGS,Rectangle,product,2100,mm,P-FLR-TEX-RUG-150252,FLOORING TEXTILE FLOORING RUGS The Weaver HAND TUFTED RUG Striped Lines 2100mm (L) x 1225mm (W),,"Hand Tufted
 
 Wool + Tencel
 
 Custom size available in ratio 1.7:1",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,,,SQFT,,1225,,,,,750
HAND TUFTED RUG,The Weaver,Silver Mist,,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/b61728d2-21ff-4e80-b356-fc0b3826e652,1800mm (L) x 1500mm (W),57023110,7e244d26-e40f-40e2-a3cc-33ef25457ea6,https://s3-dms-prod.flipspaces.app/8e6f91db-4d3c-4a75-8f2e-2392caa37b1a,TRUE,P1,RUGS,Rectangle,product,1800,mm,P-FLR-TEX-RUG-182922,FLOORING TEXTILE FLOORING RUGS The Weaver HAND TUFTED RUG Silver Mist 1800mm (L) x 1500mm (W),,"Hand Tufted
 
 Bamboo Silk
 
 Custom size available in ratio 1.2:1",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,,,SQFT,,1500,,,,,750
HAND TUFTED RUG,The Weaver,Scarlet Elegance,,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/45e8ea3e-ad5f-4178-9913-c319311d0859,1800mm (L) x 1275mm (W),57023110,1c371bf4-763b-4f24-bb3b-c2cc3d99dc4a,https://s3-dms-prod.flipspaces.app/8717784a-a6f4-4b02-bf51-4d0a1b78b29f,TRUE,P1,RUGS,Rectangle,product,1800,mm,P-FLR-TEX-RUG-843109,FLOORING TEXTILE FLOORING RUGS The Weaver HAND TUFTED RUG Scarlet Elegance 1800mm (L) x 1275mm (W),,"Hand Tufted
 
 100% Wool
 
 Custom size available in ratio 1.4:1",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,,,SQFT,,1275,,,,,750
HAND TUFTED RUG,The Weaver,Sandwave,,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/3f1ce679-a0f9-4b1b-b39a-4a490b515469,1800mm (L) x 1500mm (W),57023110,0105fd4e-f8f1-4aa7-9269-1dc32e0a6632,https://s3-dms-prod.flipspaces.app/9b09c098-e7f4-4c64-97b8-2a29c86fafcf,TRUE,P1,RUGS,Oval,product,1800,mm,P-FLR-TEX-RUG-141870,FLOORING TEXTILE FLOORING RUGS The Weaver HAND TUFTED RUG Sandwave 1800mm (L) x 1500mm (W),,"Hand Tufted
 
 Wool + Tencel
 
 Custom size available in ratio 1.2:1",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,,,SQFT,,1500,,,,,750
HAND TUFTED RUG,The Weaver,Petal Cascade,,FLOORING,,IN,https://s3-dms-prod.flipspaces.app/9167d6a9-abbb-412b-ba32-9593fcf9ef01,1800mm (L) x 1800mm (W),57023110,56521840-4b6c-4cd5-b3f8-b620fd843515,,TRUE,P1,RUGS,Round,product,1800,mm,P-FLR-TEX-RUG-950104,FLOORING TEXTILE FLOORING RUGS The Weaver HAND TUFTED RUG Petal Cascade 1800mm (L) x 1800mm (W),,"Hand Tufted
 
 100% Wool
 
 Custom size available in ratio 1:1",active,TEXTILE FLOORING,mm,059b8ed1-3410-448d-987f-559610aa8167,P_FLOORING_TEXTILE FLOORING,,,,SQFT,,1800,,,,,750
