boq_name,brand,catalogue_code_dynamic,catalogue_series_dynamic,category,color,countries,default_image,dimensions,hsn_code,id,is_preferred,item_class,item_name,item_style,item_type,length1,lwhd_metric,sku_id,sku_name,space_tag,specifications,status,sub_category,t_metric,template_id,template_name,theme,thickness,type,unit,width,images,default_image_mobile,us_dimensions,us_specifications,vendor_brand_dynamic,vendor_catalogue_code_dynamic,vendor_catalogue_series_dynamic,model_3d,finish_dynamic,Selling Price
SPC FLOORING,ELESTRO,AE - 45,,FLOORING,BROWN,US,https://s3-dms-prod.flipspaces.app/c777adef-8deb-4f3b-a4ff-9abf2490dcf9,6mm (L) x 5mm (W) x 0.5mm (T),39181090,5c05b082-e672-4d7a-9159-44addcda9df6,TRUE,P1,SPC,,product,6,mm,P-FLR-RES-SPC-867446,FLOORING RESILIENT FLOORING SPC Click Lock ELESTRO SPC FLOORING AE - 45 ANZ AE-39 ANZ Flooring 6mm (Total Thickness) x 5mm (Core Thickness) x 0.5mm (Wear Layer),,"Sizes are Available in below Combinations:
 
 
 
 W : 150/178/180/182/225 mm
 
 
 
 L : 1220/1235/1532 mm
 
 
 
 Underlayment : IXPE/EVA/Cork
 
 
 
 Surface : Wood grain, Stone grain, EIR
 
 
 
 Material : 100% Virgin
 
 
 
 Installation : Click lock – i4F and Valinge 2G
 
 
 
 Edges : Micro bevel, painted bevel
 
 
 
 Validity : 6 months 
 
 
 
 MOQ : 01x20ft container, to mix 1-3 colors 
 
 
 
 Packing : Export standard, carton box as buyer's design
 
 
 
 Leadtime : New film layer: 35-45 days since 1st deposit 
 
 
 
  Our collection: 25-30 days since 1st deposit
 
 
 
 Delivery term : FOB Haiphong Port, Vietnam",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,0.5,Click Lock,SQFT,5,,https://s3-dms-prod.flipspaces.app/dd7fd027-4715-45d8-8556-4b73e9b07190,6mm (Total Thickness) x 5mm (Core Thickness) x 0.5mm (Wear Layer),"Sizes are Available in below Combinations:
 
 
 
 W : 150/178/180/182/225 mm
 
 
 
 L : 1220/1235/1532 mm
 
 
 
 Underlayment : IXPE/EVA/Cork
 
 
 
 Surface : Wood grain, Stone grain, EIR
 
 
 
 Material : 100% Virgin
 
 
 
 Installation : Click lock – i4F and Valinge 2G
 
 
 
 Edges : Micro bevel, painted bevel
 
 
 
 Validity : 6 months 
 
 
 
 MOQ : 01x20ft container, to mix 1-3 colors 
 
 
 
 Packing : Export standard, carton box as buyer's design
 
 
 
 Leadtime : New film layer: 35-45 days since 1st deposit 
 
 
 
  Our collection: 25-30 days since 1st deposit
 
 
 
 Delivery term : FOB Haiphong Port, Vietnam",ANZ,AE-39,ANZ Flooring,,,1.25
SPC FLOORING,ELESTRO,AE - 38,,FLOORING,BROWN,US,https://s3-dms-prod.flipspaces.app/e00e3656-0041-4a75-bc80-ce0871d57a3a,8mm (L) x 5mm (W) x 0.5mm (T),39181090,9c38db93-601f-4985-8588-4b8a28e4dba5,TRUE,P1,SPC,,product,8,mm,P-FLR-RES-SPC-283234,FLOORING RESILIENT FLOORING SPC Click Lock ELESTRO SPC FLOORING AE - 38 ANZ AE-216 ANZ Flooring 8mm (Total Thickness) x 5mm (Core Thickness) x 0.5mm (Wear Layer),,"Sizes are Available in below Combinations:
 
 
 
 W : 150/178/180/182/225 mm
 
 
 
 L : 1220/1235/1532 mm
 
 
 
 Underlayment : IXPE/EVA/Cork
 
 
 
 Surface : Wood grain, Stone grain, EIR
 
 
 
 Material : 100% Virgin
 
 
 
 Installation : Click lock – i4F and Valinge 2G
 
 
 
 Edges : Micro bevel, painted bevel
 
 
 
 Validity : 6 months 
 
 
 
 MOQ : 01x20ft container, to mix 1-3 colors 
 
 
 
 Packing : Export standard, carton box as buyer's design
 
 
 
 Leadtime : New film layer: 35-45 days since 1st deposit 
 
 
 
  Our collection: 25-30 days since 1st deposit
 
 
 
 Delivery term : FOB Haiphong Port, Vietnam",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,0.5,Click Lock,SQFT,5,https://s3-dms-prod.flipspaces.app/1f4ea968-f244-41ba-ae5c-73600b1ce259,,8mm (Total Thickness) x 5mm (Core Thickness) x 0.5mm (Wear Layer),"Sizes are Available in below Combinations:
 
 
 
 W : 150/178/180/182/225 mm
 
 
 
 L : 1220/1235/1532 mm
 
 
 
 Underlayment : IXPE/EVA/Cork
 
 
 
 Surface : Wood grain, Stone grain, EIR
 
 
 
 Material : 100% Virgin
 
 
 
 Installation : Click lock – i4F and Valinge 2G
 
 
 
 Edges : Micro bevel, painted bevel
 
 
 
 Validity : 6 months 
 
 
 
 MOQ : 01x20ft container, to mix 1-3 colors 
 
 
 
 Packing : Export standard, carton box as buyer's design
 
 
 
 Leadtime : New film layer: 35-45 days since 1st deposit 
 
 
 
  Our collection: 25-30 days since 1st deposit
 
 
 
 Delivery term : FOB Haiphong Port, Vietnam",ANZ,AE-216,ANZ Flooring,,,1.42
SPC FLOORING,ELESTRO,AE - 38,,FLOORING,BROWN,US,https://s3-dms-prod.flipspaces.app/e00e3656-0041-4a75-bc80-ce0871d57a3a,6mm (L) x 5mm (W) x 0.5mm (T),39181090,95eb493c-e0f4-4c7d-96df-6ebd5402473c,TRUE,P1,SPC,,product,6,mm,P-FLR-RES-SPC-913977,FLOORING RESILIENT FLOORING SPC Click Lock ELESTRO SPC FLOORING AE - 38 ANZ AE-216 ANZ Flooring 6mm (Total Thickness) x 5mm (Core Thickness) x 0.5mm (Wear Layer),,"Sizes are Available in below Combinations:
 
 
 
 W : 150/178/180/182/225 mm
 
 
 
 L : 1220/1235/1532 mm
 
 
 
 Underlayment : IXPE/EVA/Cork
 
 
 
 Surface : Wood grain, Stone grain, EIR
 
 
 
 Material : 100% Virgin
 
 
 
 Installation : Click lock – i4F and Valinge 2G
 
 
 
 Edges : Micro bevel, painted bevel
 
 
 
 Validity : 6 months 
 
 
 
 MOQ : 01x20ft container, to mix 1-3 colors 
 
 
 
 Packing : Export standard, carton box as buyer's design
 
 
 
 Leadtime : New film layer: 35-45 days since 1st deposit 
 
 
 
  Our collection: 25-30 days since 1st deposit
 
 
 
 Delivery term : FOB Haiphong Port, Vietnam",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,0.5,Click Lock,SQFT,5,https://s3-dms-prod.flipspaces.app/1f4ea968-f244-41ba-ae5c-73600b1ce259,,6mm (Total Thickness) x 5mm (Core Thickness) x 0.5mm (Wear Layer),"Sizes are Available in below Combinations:
 
 
 
 W : 150/178/180/182/225 mm
 
 
 
 L : 1220/1235/1532 mm
 
 
 
 Underlayment : IXPE/EVA/Cork
 
 
 
 Surface : Wood grain, Stone grain, EIR
 
 
 
 Material : 100% Virgin
 
 
 
 Installation : Click lock – i4F and Valinge 2G
 
 
 
 Edges : Micro bevel, painted bevel
 
 
 
 Validity : 6 months 
 
 
 
 MOQ : 01x20ft container, to mix 1-3 colors 
 
 
 
 Packing : Export standard, carton box as buyer's design
 
 
 
 Leadtime : New film layer: 35-45 days since 1st deposit 
 
 
 
  Our collection: 25-30 days since 1st deposit
 
 
 
 Delivery term : FOB Haiphong Port, Vietnam",ANZ,AE-216,ANZ Flooring,,,1.25
SPC FLOORING,ELESTRO,AE - 38,,FLOORING,BROWN,US,https://s3-dms-prod.flipspaces.app/e00e3656-0041-4a75-bc80-ce0871d57a3a,5mm (L) x 4mm (W) x 0.5mm (T),39181090,232db64c-15f3-4565-bf26-98ee190071cb,TRUE,P1,SPC,,product,5,mm,P-FLR-RES-SPC-951055,FLOORING RESILIENT FLOORING SPC Click Lock ELESTRO SPC FLOORING AE - 38 ANZ AE-216 ANZ Flooring 5mm (Total Thickness) x 4mm (Core Thickness) x 0.5mm (Wear Layer),,"Sizes are Available in below Combinations:
 
 
 
 W : 150/178/180/182/225 mm
 
 
 
 L : 1220/1235/1532 mm
 
 
 
 Underlayment : IXPE/EVA/Cork
 
 
 
 Surface : Wood grain, Stone grain, EIR
 
 
 
 Material : 100% Virgin
 
 
 
 Installation : Click lock – i4F and Valinge 2G
 
 
 
 Edges : Micro bevel, painted bevel
 
 
 
 Validity : 6 months 
 
 
 
 MOQ : 01x20ft container, to mix 1-3 colors 
 
 
 
 Packing : Export standard, carton box as buyer's design
 
 
 
 Leadtime : New film layer: 35-45 days since 1st deposit 
 
 
 
  Our collection: 25-30 days since 1st deposit
 
 
 
 Delivery term : FOB Haiphong Port, Vietnam",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,0.5,Click Lock,SQFT,4,https://s3-dms-prod.flipspaces.app/1f4ea968-f244-41ba-ae5c-73600b1ce259,,5mm (Total Thickness) x 4mm (Core Thickness) x 0.5mm (Wear Layer),"Sizes are Available in below Combinations:
 
 
 
 W : 150/178/180/182/225 mm
 
 
 
 L : 1220/1235/1532 mm
 
 
 
 Underlayment : IXPE/EVA/Cork
 
 
 
 Surface : Wood grain, Stone grain, EIR
 
 
 
 Material : 100% Virgin
 
 
 
 Installation : Click lock – i4F and Valinge 2G
 
 
 
 Edges : Micro bevel, painted bevel
 
 
 
 Validity : 6 months 
 
 
 
 MOQ : 01x20ft container, to mix 1-3 colors 
 
 
 
 Packing : Export standard, carton box as buyer's design
 
 
 
 Leadtime : New film layer: 35-45 days since 1st deposit 
 
 
 
  Our collection: 25-30 days since 1st deposit
 
 
 
 Delivery term : FOB Haiphong Port, Vietnam",ANZ,AE-216,ANZ Flooring,,,1.12
SPC FLOORING,ELESTRO,AE - 38,,FLOORING,BROWN,US,https://s3-dms-prod.flipspaces.app/e00e3656-0041-4a75-bc80-ce0871d57a3a,5mm (L) x 4mm (W) x 0.3mm (T),39181090,ae2a528b-c99b-4d3d-a3bf-175b3c64a40f,TRUE,P1,SPC,,product,5,mm,P-FLR-RES-SPC-658656,FLOORING RESILIENT FLOORING SPC Click Lock ELESTRO SPC FLOORING AE - 38 ANZ AE-216 ANZ Flooring 5mm (Total Thickness) x 4mm (Core Thickness) x 0.3mm (Wear Layer),,"Sizes are Available in below Combinations:
 
 
 
 W : 150/178/180/182/225 mm
 
 
 
 L : 1220/1235/1532 mm
 
 
 
 Underlayment : IXPE/EVA/Cork
 
 
 
 Surface : Wood grain, Stone grain, EIR
 
 
 
 Material : 100% Virgin
 
 
 
 Installation : Click lock – i4F and Valinge 2G
 
 
 
 Edges : Micro bevel, painted bevel
 
 
 
 Validity : 6 months 
 
 
 
 MOQ : 01x20ft container, to mix 1-3 colors 
 
 
 
 Packing : Export standard, carton box as buyer's design
 
 
 
 Leadtime : New film layer: 35-45 days since 1st deposit 
 
 
 
  Our collection: 25-30 days since 1st deposit
 
 
 
 Delivery term : FOB Haiphong Port, Vietnam",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,0.3,Click Lock,SQFT,4,https://s3-dms-prod.flipspaces.app/1f4ea968-f244-41ba-ae5c-73600b1ce259,,5mm (Total Thickness) x 4mm (Core Thickness) x 0.3mm (Wear Layer),"Sizes are Available in below Combinations:
 
 
 
 W : 150/178/180/182/225 mm
 
 
 
 L : 1220/1235/1532 mm
 
 
 
 Underlayment : IXPE/EVA/Cork
 
 
 
 Surface : Wood grain, Stone grain, EIR
 
 
 
 Material : 100% Virgin
 
 
 
 Installation : Click lock – i4F and Valinge 2G
 
 
 
 Edges : Micro bevel, painted bevel
 
 
 
 Validity : 6 months 
 
 
 
 MOQ : 01x20ft container, to mix 1-3 colors 
 
 
 
 Packing : Export standard, carton box as buyer's design
 
 
 
 Leadtime : New film layer: 35-45 days since 1st deposit 
 
 
 
  Our collection: 25-30 days since 1st deposit
 
 
 
 Delivery term : FOB Haiphong Port, Vietnam",ANZ,AE-216,ANZ Flooring,,,1.05
SPC FLOORING,ELESTRO,AE - 37,,FLOORING,BROWN,US,https://s3-dms-prod.flipspaces.app/07d32796-f375-498e-ab4c-8769f22c2f04,8mm (L) x 5mm (W) x 0.5mm (T),39181090,090303f5-fa9a-4945-85da-76a1722c18a8,TRUE,P1,SPC,,product,8,mm,P-FLR-RES-SPC-399138,FLOORING RESILIENT FLOORING SPC Click Lock ELESTRO SPC FLOORING AE - 37 ANZ AE-215 ANZ Flooring 8mm (Total Thickness) x 5mm (Core Thickness) x 0.5mm (Wear Layer),,"Sizes are Available in below Combinations:
 
 
 
 W : 150/178/180/182/225 mm
 
 
 
 L : 1220/1235/1532 mm
 
 
 
 Underlayment : IXPE/EVA/Cork
 
 
 
 Surface : Wood grain, Stone grain, EIR
 
 
 
 Material : 100% Virgin
 
 
 
 Installation : Click lock – i4F and Valinge 2G
 
 
 
 Edges : Micro bevel, painted bevel
 
 
 
 Validity : 6 months 
 
 
 
 MOQ : 01x20ft container, to mix 1-3 colors 
 
 
 
 Packing : Export standard, carton box as buyer's design
 
 
 
 Leadtime : New film layer: 35-45 days since 1st deposit 
 
 
 
  Our collection: 25-30 days since 1st deposit
 
 
 
 Delivery term : FOB Haiphong Port, Vietnam",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,0.5,Click Lock,SQFT,5,"https://s3-dms-prod.flipspaces.app/10b580e2-8eca-437d-bc79-8e58dc72d1f7,https://s3-dms-prod.flipspaces.app/b2289d53-fc2b-4de9-b358-061b8b8633f5",,8mm (Total Thickness) x 5mm (Core Thickness) x 0.5mm (Wear Layer),"Sizes are Available in below Combinations:
 
 
 
 W : 150/178/180/182/225 mm
 
 
 
 L : 1220/1235/1532 mm
 
 
 
 Underlayment : IXPE/EVA/Cork
 
 
 
 Surface : Wood grain, Stone grain, EIR
 
 
 
 Material : 100% Virgin
 
 
 
 Installation : Click lock – i4F and Valinge 2G
 
 
 
 Edges : Micro bevel, painted bevel
 
 
 
 Validity : 6 months 
 
 
 
 MOQ : 01x20ft container, to mix 1-3 colors 
 
 
 
 Packing : Export standard, carton box as buyer's design
 
 
 
 Leadtime : New film layer: 35-45 days since 1st deposit 
 
 
 
  Our collection: 25-30 days since 1st deposit
 
 
 
 Delivery term : FOB Haiphong Port, Vietnam",ANZ,AE-215,ANZ Flooring,,,1.42
SPC FLOORING,ELESTRO,AE - 37,,FLOORING,BROWN,US,https://s3-dms-prod.flipspaces.app/07d32796-f375-498e-ab4c-8769f22c2f04,6mm (L) x 5mm (W) x 0.5mm (T),39181090,abecaef3-5187-4512-83fa-eebae399e47f,TRUE,P1,SPC,,product,6,mm,P-FLR-RES-SPC-136804,FLOORING RESILIENT FLOORING SPC Click Lock ELESTRO SPC FLOORING AE - 37 ANZ AE-215 ANZ Flooring 6mm (Total Thickness) x 5mm (Core Thickness) x 0.5mm (Wear Layer),,"Sizes are Available in below Combinations:
 
 
 
 W : 150/178/180/182/225 mm
 
 
 
 L : 1220/1235/1532 mm
 
 
 
 Underlayment : IXPE/EVA/Cork
 
 
 
 Surface : Wood grain, Stone grain, EIR
 
 
 
 Material : 100% Virgin
 
 
 
 Installation : Click lock – i4F and Valinge 2G
 
 
 
 Edges : Micro bevel, painted bevel
 
 
 
 Validity : 6 months 
 
 
 
 MOQ : 01x20ft container, to mix 1-3 colors 
 
 
 
 Packing : Export standard, carton box as buyer's design
 
 
 
 Leadtime : New film layer: 35-45 days since 1st deposit 
 
 
 
  Our collection: 25-30 days since 1st deposit
 
 
 
 Delivery term : FOB Haiphong Port, Vietnam",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,0.5,Click Lock,SQFT,5,"https://s3-dms-prod.flipspaces.app/10b580e2-8eca-437d-bc79-8e58dc72d1f7,https://s3-dms-prod.flipspaces.app/b2289d53-fc2b-4de9-b358-061b8b8633f5",,6mm (Total Thickness) x 5mm (Core Thickness) x 0.5mm (Wear Layer),"Sizes are Available in below Combinations:
 
 
 
 W : 150/178/180/182/225 mm
 
 
 
 L : 1220/1235/1532 mm
 
 
 
 Underlayment : IXPE/EVA/Cork
 
 
 
 Surface : Wood grain, Stone grain, EIR
 
 
 
 Material : 100% Virgin
 
 
 
 Installation : Click lock – i4F and Valinge 2G
 
 
 
 Edges : Micro bevel, painted bevel
 
 
 
 Validity : 6 months 
 
 
 
 MOQ : 01x20ft container, to mix 1-3 colors 
 
 
 
 Packing : Export standard, carton box as buyer's design
 
 
 
 Leadtime : New film layer: 35-45 days since 1st deposit 
 
 
 
  Our collection: 25-30 days since 1st deposit
 
 
 
 Delivery term : FOB Haiphong Port, Vietnam",ANZ,AE-215,ANZ Flooring,,,1.25
SPC FLOORING,ELESTRO,AE - 37,,FLOORING,BROWN,US,https://s3-dms-prod.flipspaces.app/07d32796-f375-498e-ab4c-8769f22c2f04,5mm (L) x 4mm (W) x 0.5mm (T),39181090,f1ad45a2-0061-4820-8160-05be386fef7a,TRUE,P1,SPC,,product,5,mm,P-FLR-RES-SPC-439658,FLOORING RESILIENT FLOORING SPC Click Lock ELESTRO SPC FLOORING AE - 37 ANZ AE-215 ANZ Flooring 5mm (Total Thickness) x 4mm (Core Thickness) x 0.5mm (Wear Layer),,"Sizes are Available in below Combinations:
 
 
 
 W : 150/178/180/182/225 mm
 
 
 
 L : 1220/1235/1532 mm
 
 
 
 Underlayment : IXPE/EVA/Cork
 
 
 
 Surface : Wood grain, Stone grain, EIR
 
 
 
 Material : 100% Virgin
 
 
 
 Installation : Click lock – i4F and Valinge 2G
 
 
 
 Edges : Micro bevel, painted bevel
 
 
 
 Validity : 6 months 
 
 
 
 MOQ : 01x20ft container, to mix 1-3 colors 
 
 
 
 Packing : Export standard, carton box as buyer's design
 
 
 
 Leadtime : New film layer: 35-45 days since 1st deposit 
 
 
 
  Our collection: 25-30 days since 1st deposit
 
 
 
 Delivery term : FOB Haiphong Port, Vietnam",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,0.5,Click Lock,SQFT,4,"https://s3-dms-prod.flipspaces.app/10b580e2-8eca-437d-bc79-8e58dc72d1f7,https://s3-dms-prod.flipspaces.app/b2289d53-fc2b-4de9-b358-061b8b8633f5",,5mm (Total Thickness) x 4mm (Core Thickness) x 0.5mm (Wear Layer),"Sizes are Available in below Combinations:
 
 
 
 W : 150/178/180/182/225 mm
 
 
 
 L : 1220/1235/1532 mm
 
 
 
 Underlayment : IXPE/EVA/Cork
 
 
 
 Surface : Wood grain, Stone grain, EIR
 
 
 
 Material : 100% Virgin
 
 
 
 Installation : Click lock – i4F and Valinge 2G
 
 
 
 Edges : Micro bevel, painted bevel
 
 
 
 Validity : 6 months 
 
 
 
 MOQ : 01x20ft container, to mix 1-3 colors 
 
 
 
 Packing : Export standard, carton box as buyer's design
 
 
 
 Leadtime : New film layer: 35-45 days since 1st deposit 
 
 
 
  Our collection: 25-30 days since 1st deposit
 
 
 
 Delivery term : FOB Haiphong Port, Vietnam",ANZ,AE-215,ANZ Flooring,,,1.12
SPC FLOORING,ELESTRO,AE - 37,,FLOORING,BROWN,US,https://s3-dms-prod.flipspaces.app/07d32796-f375-498e-ab4c-8769f22c2f04,5mm (L) x 4mm (W) x 0.3mm (T),39181090,7677a32b-8e3b-4a6d-ad54-e12fed6247cc,TRUE,P1,SPC,,product,5,mm,P-FLR-RES-SPC-489264,FLOORING RESILIENT FLOORING SPC Click Lock ELESTRO SPC FLOORING AE - 37 ANZ AE-215 ANZ Flooring 5mm (Total Thickness) x 4mm (Core Thickness) x 0.3mm (Wear Layer),,"Sizes are Available in below Combinations:
 
 
 
 W : 150/178/180/182/225 mm
 
 
 
 L : 1220/1235/1532 mm
 
 
 
 Underlayment : IXPE/EVA/Cork
 
 
 
 Surface : Wood grain, Stone grain, EIR
 
 
 
 Material : 100% Virgin
 
 
 
 Installation : Click lock – i4F and Valinge 2G
 
 
 
 Edges : Micro bevel, painted bevel
 
 
 
 Validity : 6 months 
 
 
 
 MOQ : 01x20ft container, to mix 1-3 colors 
 
 
 
 Packing : Export standard, carton box as buyer's design
 
 
 
 Leadtime : New film layer: 35-45 days since 1st deposit 
 
 
 
  Our collection: 25-30 days since 1st deposit
 
 
 
 Delivery term : FOB Haiphong Port, Vietnam",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,0.3,Click Lock,SQFT,4,"https://s3-dms-prod.flipspaces.app/10b580e2-8eca-437d-bc79-8e58dc72d1f7,https://s3-dms-prod.flipspaces.app/b2289d53-fc2b-4de9-b358-061b8b8633f5",,5mm (Total Thickness) x 4mm (Core Thickness) x 0.3mm (Wear Layer),"Sizes are Available in below Combinations:
 
 
 
 W : 150/178/180/182/225 mm
 
 
 
 L : 1220/1235/1532 mm
 
 
 
 Underlayment : IXPE/EVA/Cork
 
 
 
 Surface : Wood grain, Stone grain, EIR
 
 
 
 Material : 100% Virgin
 
 
 
 Installation : Click lock – i4F and Valinge 2G
 
 
 
 Edges : Micro bevel, painted bevel
 
 
 
 Validity : 6 months 
 
 
 
 MOQ : 01x20ft container, to mix 1-3 colors 
 
 
 
 Packing : Export standard, carton box as buyer's design
 
 
 
 Leadtime : New film layer: 35-45 days since 1st deposit 
 
 
 
  Our collection: 25-30 days since 1st deposit
 
 
 
 Delivery term : FOB Haiphong Port, Vietnam",ANZ,AE-215,ANZ Flooring,,,1.05
SPC FLOORING,ELESTRO,AE - 36,,FLOORING,BROWN,US,https://s3-dms-prod.flipspaces.app/36e229ea-ebd9-4bd9-be64-3bbcd9c0cfdd,8mm (L) x 5mm (W) x 0.5mm (T),39181090,599d2ece-ecad-4b05-932a-58f879fda7d6,TRUE,P1,SPC,,product,8,mm,P-FLR-RES-SPC-272277,FLOORING RESILIENT FLOORING SPC Click Lock ELESTRO SPC FLOORING AE - 36 ANZ AE-214 ANZ Flooring 8mm (Total Thickness) x 5mm (Core Thickness) x 0.5mm (Wear Layer),,"Sizes are Available in below Combinations:
 
 
 
 W : 150/178/180/182/225 mm
 
 
 
 L : 1220/1235/1532 mm
 
 
 
 Underlayment : IXPE/EVA/Cork
 
 
 
 Surface : Wood grain, Stone grain, EIR
 
 
 
 Material : 100% Virgin
 
 
 
 Installation : Click lock – i4F and Valinge 2G
 
 
 
 Edges : Micro bevel, painted bevel
 
 
 
 Validity : 6 months 
 
 
 
 MOQ : 01x20ft container, to mix 1-3 colors 
 
 
 
 Packing : Export standard, carton box as buyer's design
 
 
 
 Leadtime : New film layer: 35-45 days since 1st deposit 
 
 
 
  Our collection: 25-30 days since 1st deposit
 
 
 
 Delivery term : FOB Haiphong Port, Vietnam",active,RESILIENT FLOORING,mm,1495d9b4-0dd3-4a1b-a89e-55c41bef6b33,P_FLOORING_RESILIENT FLOORING,,0.5,Click Lock,SQFT,5,"https://s3-dms-prod.flipspaces.app/3958a31b-2d06-4fa6-90a5-91f3caaac2ed,https://s3-dms-prod.flipspaces.app/95d76ed2-d4aa-4a12-9c57-f3d0bec19482",,8mm (Total Thickness) x 5mm (Core Thickness) x 0.5mm (Wear Layer),"Sizes are Available in below Combinations:
 
 
 
 W : 150/178/180/182/225 mm
 
 
 
 L : 1220/1235/1532 mm
 
 
 
 Underlayment : IXPE/EVA/Cork
 
 
 
 Surface : Wood grain, Stone grain, EIR
 
 
 
 Material : 100% Virgin
 
 
 
 Installation : Click lock – i4F and Valinge 2G
 
 
 
 Edges : Micro bevel, painted bevel
 
 
 
 Validity : 6 months 
 
 
 
 MOQ : 01x20ft container, to mix 1-3 colors 
 
 
 
 Packing : Export standard, carton box as buyer's design
 
 
 
 Leadtime : New film layer: 35-45 days since 1st deposit 
 
 
 
  Our collection: 25-30 days since 1st deposit
 
 
 
 Delivery term : FOB Haiphong Port, Vietnam",ANZ,AE-214,ANZ Flooring,,,1.42
