boq_name,brand,catalogue_code_dynamic,category,countries,default_image,dimensions,height,hsn_code,id,images,is_preferred,item_class,item_name,item_type,length1,lwhd_metric,sku_id,sku_name,specifications,status,sub_category,t_metric,template_id,template_name,type,unit,vendor_catalogue_code_dynamic,vendor_catalogue_series_dynamic,width,us_dimensions,us_specifications,color,item_style,space_tag,theme,vendor_brand_dynamic,config,edge_banding_colors_dynamic,model_3d,outer_finishes_dynamic,td_document,Selling Price
WARDROBE,ELESTRO,ENT_SKY_ST02,FURNITURE,AE,https://s3-dms-prod.flipspaces.app/6d295503-5036-447a-8005-29fcde79a02f,1200mm (L) x 600mm (W) x 2000mm (H),2000,9403,ebab8da1-85c8-495c-94b5-451ed660c5ba,"https://s3-dms-prod.flipspaces.app/c04b6750-9697-4a19-9a6f-98143e6351f7,https://s3-dms-prod.flipspaces.app/8eef1216-039a-4a7d-833c-49b3d6a9490d,https://s3-dms-prod.flipspaces.app/2f2e6873-2033-4b2f-beb3-8a0d72441420",TRUE,P1,STORAGE,product,1200,mm,P-FUR-MOD-STO-407535,FURNITURE MODULAR FURNITURE STORAGE ENT ELESTRO WARDROBE ENT_SKY_ST02 SKL - IN - CA - 002 Skyline 1200mm (L) x 600mm (W) x 2000mm (H),"Dimensions: Length 120 × Width 60 × Height 200 cm
 
 
 
 
 
 Material: Engineered wood with Melamine finish",active,MODULAR FURNITURE,mm,e5244fba-ac99-4c95-b777-cd50235a45d1,P_FURNITURE_MODULAR FURNITURE_STORAGE,ENT,NOS,SKL - IN - CA - 002,Skyline,600,,,,,,,,,,,,,
BEDSIDE CABINET,ELESTRO,ENT_SKY_ST01,FURNITURE,AE,https://s3-dms-prod.flipspaces.app/11dfaf2c-cadf-4eff-b39a-d0c7cadce335,550mm (L) x 550mm (W) x 500mm (H),500,9403,c7abfee8-6ca3-491d-9dcf-8f5a321f519a,"https://s3-dms-prod.flipspaces.app/ef02fb67-0bbd-429c-8704-62f5a08084c0,https://s3-dms-prod.flipspaces.app/11dfaf2c-cadf-4eff-b39a-d0c7cadce335,https://s3-dms-prod.flipspaces.app/155f22cf-8802-4f08-8926-ca9278c28f13,https://s3-dms-prod.flipspaces.app/87b7758a-d528-4169-940b-e44bf1e2b1b6",TRUE,P1,STORAGE,product,550,mm,P-FUR-MOD-STO-523629,FURNITURE MODULAR FURNITURE STORAGE ENT ELESTRO BEDSIDE CABINET ENT_SKY_ST01 SKL - IN - CA - 001 Skyline 550mm (L) x 550mm (W) x 500mm (H),"Bedside table: L55 × W55 × H50 cm
 
 
 
 
 
 Material: Natural Ash wood
 
 
 
 
 
 Ash veneer MDF",active,MODULAR FURNITURE,mm,e5244fba-ac99-4c95-b777-cd50235a45d1,P_FURNITURE_MODULAR FURNITURE_STORAGE,ENT,NOS,SKL - IN - CA - 001,Skyline,550,,,,,,,,,,,,,
LOW HEIGHT STORAGE,ELESTRO,FLBR_LF11,FURNITURE,US,https://s3-dms-prod.flipspaces.app/8d56d48d-b63f-4303-add0-19a5d8733e30,1524mm (L) x 609mm (W) x 812mm (H),812,94036000,836ac86a-99c9-4255-9744-f511cb1388bf,,TRUE,P1,STORAGE,product,1524,mm,P-FUR-MOD-STO-296480,FURNITURE MODULAR FURNITURE STORAGE ELESTRO LOW HEIGHT STORAGE FLBR_LF11 50 x 20 x 28,"Structure : Frame to be made in approved oak wood and to be finished in aproved wood polish.
 
 Frame to have provision for shelf.
 
 
 
 Shelfs : To be made in oak wood and to be finished in approved wood polish as per selection.
 
 shelf to fix on frame using brackets.",active,MODULAR FURNITURE,mm,e5244fba-ac99-4c95-b777-cd50235a45d1,P_FURNITURE_MODULAR FURNITURE_STORAGE,,SQFT,,,609,"5'0"" x 2'0"" x 2'8""","Structure : Frame to be made in approved oak wood & to be finished in aproved wood polish.
 
 Frame to have provision for shelf.
 
 
 
 Shelfs : To be made in oak wood & to be finished in approved wood polish as per selection.
 
 shelf to fix on frame using brackets.",,,,,,,,,,,3
FULL HEIGHT STORAGE,ELESTRO,FLBR_LF10,FURNITURE,US,https://s3-dms-prod.flipspaces.app/3e4d962d-2ddc-411d-a183-d9d4ce79ef1e,1524mm (L) x 609mm (W) x 1524mm (H),1524,94036000,06a165fa-9b3a-451f-9396-76600f4383cf,,TRUE,P1,STORAGE,product,1524,mm,P-FUR-MOD-STO-852694,FURNITURE MODULAR FURNITURE STORAGE ELESTRO FULL HEIGHT STORAGE FLBR_LF10 50 x 20 x 50,"Structure : Frame to be made in approved oak wood and to be finished in aproved wood polish.
 
 Frame to have provision for shelf.
 
 
 
 Shelfs : To be made in oak wood and to be finished in approved wood polish as per selection.
 
 shelf to fix on frame using brackets.",active,MODULAR FURNITURE,mm,e5244fba-ac99-4c95-b777-cd50235a45d1,P_FURNITURE_MODULAR FURNITURE_STORAGE,,SQFT,,,609,5'0 x 2'0 x 5'0,"Structure : Frame to be made in approved oak wood & to be finished in aproved wood polish.
 
 Frame to have provision for shelf.
 
 
 
 Shelfs : To be made in oak wood & to be finished in approved wood polish as per selection.
 
 shelf to fix on frame using brackets.",,,,,,,,,,,3
BASE CABINET,Elestro,FS-WM-25,FURNITURE,US,https://s3-dms-prod.flipspaces.app/7c11324f-a5ef-4ab6-817e-3e0c0c66a82a,2400mm (L) x 600mm (W) x 850mm (H),850,94036000,3e7025b6-c1d2-4b2d-8888-a735acc4b399,,TRUE,P1,STORAGE,product,2400,mm,P-FUR-MOD-STO-882651,FURNITURE MODULAR FURNITURE STORAGE Elestro BASE CABINET FS-WM-25 L-6 X H-210 X D-20,"Structure : To be made in MDF & to be finished in approved duco paint as per selection
 
 
 
 Shutters : To be made in MDF & to be finished in approved duco paint as per selection.
 
 
 
 Cabinets will have standard laminate finish on inner surfaces.
 
 
 
 Adjustable shelves to be provided inside the cabinets.
 
 All exposed edges to be finished with approved duco paint as per selection. 
 
 
 
 Hardware : Handle, Hinges, Shelf pin & other auxiliary hardware.",active,MODULAR FURNITURE,mm,e5244fba-ac99-4c95-b777-cd50235a45d1,P_FURNITURE_MODULAR FURNITURE_STORAGE,,NOS,,,600,"L-6'"" X H-2'10"" X D-2'0""","Structure : To be made in MDF & to be finished in approved duco paint as per selection
 
 
 
 Shutters : To be made in MDF & to be finished in approved duco paint as per selection.
 
 
 
 Cabinets will have standard laminate finish on inner surfaces.
 
 
 
 Adjustable shelves to be provided inside the cabinets.
 
 All exposed edges to be finished with approved duco paint as per selection. 
 
 
 
 Hardware : Handle, Hinges, Shelf pin & other auxiliary hardware.",,,,,,,,,,,1131
BASE CABINET,Elestro,FS-WM-02,FURNITURE,US,https://s3-dms-prod.flipspaces.app/4ecbd7f2-dfdd-487b-b58c-9548dd552055,2550mm (L) x 600mm (W) x 600mm (H),600,94036000,ae6932e6-18df-437e-a242-295544311745,,TRUE,P1,STORAGE,product,2550,mm,P-FUR-MOD-STO-250827,FURNITURE MODULAR FURNITURE STORAGE Elestro BASE CABINET FS-WM-02 L-86 X H-20 X D-20,"Structure : To be made in MDF & to be finished in approved duco paint as per selection
 
 
 
 Shutters : To be made in MDF & to be finished in approved duco paint as per selection.
 
 
 
 Cabinets will have standard laminate finish on inner surfaces.
 
 
 
 Adjustable shelves to be provided inside the cabinets.
 
 All exposed edges to be finished with approved duco paint as per selection. 
 
 
 
 Hardware : Handle, Hinges, Shelf pin & other auxiliary hardware.",active,MODULAR FURNITURE,mm,e5244fba-ac99-4c95-b777-cd50235a45d1,P_FURNITURE_MODULAR FURNITURE_STORAGE,,SQFT,,,600,"L-8'6"" X H-2'0"" X D-2'0""","Structure : To be made in MDF & to be finished in approved duco paint as per selection
 
 
 
 Shutters : To be made in MDF & to be finished in approved duco paint as per selection.
 
 
 
 Cabinets will have standard laminate finish on inner surfaces.
 
 
 
 Adjustable shelves to be provided inside the cabinets.
 
 All exposed edges to be finished with approved duco paint as per selection. 
 
 
 
 Hardware : Handle, Hinges, Shelf pin & other auxiliary hardware.",,,,,,,,,,,89
BASE CABINET,Elestro,FS_WN 05,FURNITURE,US,https://s3-dms-prod.flipspaces.app/81a44a2b-9f52-44dd-a7ff-9bd88f535289,725mm (L) x 600mm (W) x 850mm (H),850,94036000,63d53cde-79d2-46ac-9b71-51777e749d5d,,TRUE,P1,STORAGE,product,725,mm,P-FUR-MOD-STO-826175,FURNITURE MODULAR FURNITURE STORAGE Elestro BASE CABINET FS_WN 05 L-25 X H-210 X D-20,"Structure : To be made in MDF & to be finished in approved duco paint as per selection
 
 
 
 Shutters : To be made in MDF & to be finished in approved duco paint as per selection.
 
 
 
 Cabinets will have standard laminate finish on inner surfaces.
 
 
 
 Adjustable shelves to be provided inside the cabinets.
 
 All exposed edges to be finished with approved duco paint as per selection. 
 
 
 
 Hardware : Handle, Hinges, Shelf pin & other auxiliary hardware.",active,MODULAR FURNITURE,mm,e5244fba-ac99-4c95-b777-cd50235a45d1,P_FURNITURE_MODULAR FURNITURE_STORAGE,,SQFT,,,600,"L-2'5"" X H-2'10"" X D-2'0""","Structure : To be made in MDF & to be finished in approved duco paint as per selection
 
 
 
 Shutters : To be made in MDF & to be finished in approved duco paint as per selection.
 
 
 
 Cabinets will have standard laminate finish on inner surfaces.
 
 
 
 Adjustable shelves to be provided inside the cabinets.
 
 All exposed edges to be finished with approved duco paint as per selection. 
 
 
 
 Hardware : Handle, Hinges, Shelf pin & other auxiliary hardware.",,,,,,,,,,,89
BASE CABINET,Elestro,FS_WN - 02,FURNITURE,US,https://s3-dms-prod.flipspaces.app/f49137ab-fb35-48bf-9ba0-1095b84ade81,1100mm (L) x 600mm (W) x 850mm (H),850,94036000,5026348d-cd5f-4f29-8a28-7c8bf21a39a5,,TRUE,P1,STORAGE,product,1100,mm,P-FUR-MOD-STO-117801,FURNITURE MODULAR FURNITURE STORAGE Elestro BASE CABINET FS_WN - 02 L-39 X H-210 X D-20,"Structure : To be made in MDF & to be finished in approved duco paint as per selection
 
 
 
 Shutters : To be made in MDF & to be finished in approved duco paint as per selection.
 
 
 
 Cabinets will have standard laminate finish on inner surfaces.
 
 
 
 Adjustable shelves to be provided inside the cabinets.
 
 All exposed edges to be finished with approved duco paint as per selection. 
 
 
 
 Hardware : Handle, Hinges, Shelf pin & other auxiliary hardware.",active,MODULAR FURNITURE,mm,e5244fba-ac99-4c95-b777-cd50235a45d1,P_FURNITURE_MODULAR FURNITURE_STORAGE,,SQFT,,,600,"L-3'9"" X H-2'10"" X D-2'0""","Structure : To be made in MDF & to be finished in approved duco paint as per selection
 
 
 
 Shutters : To be made in MDF & to be finished in approved duco paint as per selection.
 
 
 
 Cabinets will have standard laminate finish on inner surfaces.
 
 
 
 Adjustable shelves to be provided inside the cabinets.
 
 All exposed edges to be finished with approved duco paint as per selection. 
 
 
 
 Hardware : Handle, Hinges, Shelf pin & other auxiliary hardware.",,,,,,,,,,,89
BASE CABINET,Elestro,FS_PS 04,FURNITURE,US,https://s3-dms-prod.flipspaces.app/3f3edf51-71c9-4fb3-99a3-360555d19e97,800mm (L) x 600mm (W) x 850mm (H),850,94036000,6884ab81-1509-4110-802f-97f2f3dbe5af,,TRUE,P1,STORAGE,product,800,mm,P-FUR-MOD-STO-648307,FURNITURE MODULAR FURNITURE STORAGE Elestro BASE CABINET FS_PS 04 L- 29 X H-210 X D - 20,"Structure : To be made in MDF & to be finished in approved duco paint as per selection
 
 
 
 Shutters : To be made in MDF & to be finished in approved duco paint as per selection.
 
 
 
 Cabinets will have standard laminate finish on inner surfaces.
 
 
 
 Adjustable shelves to be provided inside the cabinets.
 
 All exposed edges to be finished with approved duco paint as per selection. 
 
 
 
 Hardware : Handle, Hinges, Shelf pin & other auxiliary hardware.",active,MODULAR FURNITURE,mm,e5244fba-ac99-4c95-b777-cd50235a45d1,P_FURNITURE_MODULAR FURNITURE_STORAGE,,NOS,,,600,"L- 2'9"" X H-2'10"" X D - 2'0""","Structure : To be made in MDF & to be finished in approved duco paint as per selection
 
 
 
 Shutters : To be made in MDF & to be finished in approved duco paint as per selection.
 
 
 
 Cabinets will have standard laminate finish on inner surfaces.
 
 
 
 Adjustable shelves to be provided inside the cabinets.
 
 All exposed edges to be finished with approved duco paint as per selection. 
 
 
 
 Hardware : Handle, Hinges, Shelf pin & other auxiliary hardware.",,,,,,,,,,,1131
BASE CABINET,Elestro,FS_GT - 02,FURNITURE,US,https://s3-dms-prod.flipspaces.app/7fd9b4bf-0166-4168-85a6-81e73bcbd719,2400mm (L) x 500mm (W) x 800mm (H),800,94036000,8da96f63-05f9-4031-9192-e5a19449e4fa,,TRUE,P1,STORAGE,product,2400,mm,P-FUR-MOD-STO-987547,FURNITURE MODULAR FURNITURE STORAGE Elestro BASE CABINET FS_GT - 02 L - 40 X H-210 X D- 110,"Structure : To be made in MDF & to be finished in approved duco paint as per selection
 
 
 
 Shutters : To be made in MDF & to be finished in approved duco paint as per selection.
 
 
 
 Cabinets will have standard laminate finish on inner surfaces.
 
 
 
 Adjustable shelves to be provided inside the cabinets.
 
 All exposed edges to be finished with approved duco paint as per selection. 
 
 
 
 Hardware : Handle, Hinges, Shelf pin & other auxiliary hardware.",active,MODULAR FURNITURE,mm,e5244fba-ac99-4c95-b777-cd50235a45d1,P_FURNITURE_MODULAR FURNITURE_STORAGE,,NOS,,,500,"L - 4'0"" X H-2'10"" X D- 1'10""","Structure : To be made in MDF & to be finished in approved duco paint as per selection
 
 
 
 Shutters : To be made in MDF & to be finished in approved duco paint as per selection.
 
 
 
 Cabinets will have standard laminate finish on inner surfaces.
 
 
 
 Adjustable shelves to be provided inside the cabinets.
 
 All exposed edges to be finished with approved duco paint as per selection. 
 
 
 
 Hardware : Handle, Hinges, Shelf pin & other auxiliary hardware.",,,,,,,,,,,89
